rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,63,600,22.42,161274.96,0.8008
2,44,0,680,28.38,156365.98,0.7764
3,31,151,967,34.04,140916.53,0.6997
4,57,0,825,34.42,134298.65,0.6669
5,13,7879,8433,23.12,123055.24,0.611
6,45,8031,8514,20.17,119115.38,0.5915
7,9,0,847,35.33,119096.55,0.5914
8,33,7865,8648,32.67,112463.7,0.5584
9,11,8201,8599,16.62,106588.34,0.5293
10,27,0,440,18.38,104803.84,0.5204
11,54,7935,8490,23.17,96610.62,0.4797
12,32,8247,8759,21.38,96124.79,0.4773
13,24,448,799,14.67,96030.98,0.4768
14,49,17,393,15.71,90144.02,0.4476
15,25,822,1198,15.71,89332.01,0.4436
16,37,319,751,18.04,81166.5,0.403
17,51,65,439,15.62,78628.13,0.3904
18,41,328,560,9.71,78582.01,0.3902
19,42,822,1103,11.75,78500.0,0.3898
20,35,0,270,11.29,77633.87,0.3855
21,55,8201,8513,13.04,76233.1,0.3785
22,53,7889,8311,17.62,74225.62,0.3686
23,47,257,415,6.62,73096.34,0.363
24,46,496,793,12.42,73058.42,0.3628
25,7,8248,8759,21.33,71892.84,0.357
26,52,497,727,9.62,70590.86,0.3505
27,15,655,1074,17.5,70339.07,0.3493
28,30,1192,1470,11.62,70038.01,0.3478
29,10,630,1088,19.12,69713.08,0.3462
30,18,151,401,10.46,68586.64,0.3406
31,20,0,175,7.33,67169.32,0.3335
32,38,6,287,11.75,66136.24,0.3284
33,34,655,1111,19.04,65000.06,0.3228
34,58,295,585,12.12,64702.1,0.3213
35,22,136,246,4.62,64568.11,0.3206
36,43,737,1170,18.08,63338.04,0.3145
37,50,1097,1318,9.25,61007.17,0.3029
38,34,328,529,8.42,60920.5,0.3025
39,56,199,535,14.04,58820.16,0.2921
40,1,702,1014,13.04,56264.94,0.2794
41,19,8176,8313,5.75,55507.73,0.2756
42,48,7888,8167,11.67,55202.74,0.2741
43,17,257,441,7.71,54970.07,0.273
44,39,185,384,8.33,54411.29,0.2702
45,44,8238,8600,15.12,53819.29,0.2672
46,21,8383,8681,12.46,52469.81,0.2605
47,26,151,367,9.04,51320.34,0.2548
48,33,0,329,13.75,50257.06,0.2495
49,59,40,270,9.62,49642.13,0.2465
50,46,1024,1256,9.71,48721.34,0.2419
51,23,8382,8551,7.08,46928.2,0.233
52,5,760,943,7.67,46320.88,0.23
53,2,15,198,7.67,45688.57,0.2269
54,29,64,151,3.67,45569.09,0.2263
55,28,447,678,9.67,45171.27,0.2243
56,7,7879,8133,10.62,42285.32,0.21
57,30,8368,8552,7.71,41724.43,0.2072
58,1,8345,8498,6.42,40866.17,0.2029
59,6,8367,8502,5.67,40378.18,0.2005
60,55,256,714,19.12,39545.62,0.1964
61,40,511,727,9.04,39116.23,0.1942
62,46,8047,8352,12.75,38808.69,0.1927
63,10,6,270,11.04,38773.29,0.1925
64,32,0,290,12.12,38406.69,0.1907
65,13,424,859,18.17,38078.84,0.1891
66,8,8177,8263,3.62,37432.52,0.1859
67,16,7879,8156,11.58,37337.31,0.1854
68,16,415,785,15.46,36724.04,0.1824
69,15,0,104,4.38,36630.71,0.1819
70,60,8129,8288,6.67,36366.78,0.1806
71,40,990,1134,6.04,36085.51,0.1792
72,60,814,930,4.88,35862.49,0.1781
73,42,159,440,11.75,34796.68,0.1728
74,43,7697,7985,12.04,34480.71,0.1712
75,53,8431,8540,4.58,33778.31,0.1677
76,43,280,537,10.75,33432.66,0.166
77,4,7878,7975,4.08,32200.81,0.1599
78,56,663,870,8.67,31313.44,0.1555
79,43,0,224,9.38,31074.12,0.1543
80,9,8417,8719,12.62,30970.98,0.1538
81,33,1108,1441,13.92,30327.57,0.1506
82,5,486,599,4.75,29228.76,0.1451
83,14,8654,8759,4.42,28598.39,0.142
84,51,833,1133,12.54,27315.46,0.1356
85,12,736,883,6.17,26921.59,0.1337
86,11,0,224,9.38,26811.37,0.1331
87,48,655,797,5.96,26164.95,0.1299
88,25,0,163,6.83,25629.97,0.1273
89,36,7695,7772,3.25,25623.17,0.1272
90,29,8321,8407,3.62,24900.25,0.1236
91,36,8176,8287,4.67,24537.5,0.1218
92,24,7960,8153,8.08,24267.29,0.1205
93,38,880,954,3.12,24092.51,0.1196
94,8,0,79,3.33,22262.39,0.1105
95,12,615,681,2.79,21815.69,0.1083
96,47,7760,8048,12.04,21791.28,0.1082
97,12,30,188,6.62,21103.04,0.1048
98,18,8657,8759,4.29,21041.24,0.1045
99,42,8047,8336,12.08,20927.24,0.1039
100,46,30,288,10.79,20136.56,0.1
101,8,544,761,9.08,20008.54,0.0994
102,41,7697,7961,11.04,19831.19,0.0985
103,18,8383,8585,8.46,19810.6,0.0984
104,21,7600,7712,4.71,19364.82,0.0962
105,58,7888,8096,8.71,19326.08,0.096
106,23,791,896,4.42,19219.52,0.0954
107,32,7878,8154,11.54,18811.99,0.0934
108,14,8225,8431,8.62,18030.9,0.0895
109,58,664,799,5.67,17878.61,0.0888
110,13,16,247,9.67,17877.13,0.0888
111,16,8512,8599,3.67,17604.89,0.0874
112,60,568,763,8.17,17404.55,0.0864
113,41,0,96,4.04,16829.06,0.0836
114,45,8575,8759,7.71,16714.3,0.083
115,23,159,201,1.79,16463.97,0.0818
116,16,151,258,4.5,16304.65,0.081
117,22,792,836,1.88,16204.66,0.0805
118,19,0,78,3.29,15659.12,0.0778
119,31,1088,1231,6.0,15513.77,0.077
120,35,8153,8302,6.25,15102.4,0.075
121,10,8249,8465,9.04,14975.66,0.0744
122,2,8408,8601,8.08,14849.66,0.0737
123,18,520,716,8.21,14506.62,0.072
124,1,1326,1510,7.71,13570.1,0.0674
125,5,4885,4958,3.08,13550.57,0.0673
126,45,343,511,7.04,13452.68,0.0668
127,50,8680,8753,3.08,13307.8,0.0661
128,43,8368,8552,7.71,13211.59,0.0656
129,38,8656,8759,4.33,13078.55,0.0649
130,4,607,695,3.71,13018.83,0.0646
131,8,160,319,6.67,12970.94,0.0644
132,37,8479,8599,5.04,12812.57,0.0636
133,42,8575,8688,4.75,12809.25,0.0636
134,37,991,1087,4.04,12733.61,0.0632
135,25,303,432,5.42,12621.27,0.0627
136,35,8393,8562,7.08,12300.54,0.0611
137,40,8537,8657,5.04,12281.37,0.061
138,51,8214,8346,5.54,12266.46,0.0609
139,11,304,431,5.33,12182.81,0.0605
140,49,617,702,3.58,12014.38,0.0597
141,2,7639,7662,1.0,11896.54,0.0591
142,26,1336,1425,3.75,11805.38,0.0586
143,50,7927,8015,3.71,11632.3,0.0578
144,3,7960,8097,5.75,11580.05,0.0575
145,21,7936,8071,5.67,11247.01,0.0558
146,58,8215,8302,3.67,11209.58,0.0557
147,28,8247,8383,5.71,10768.89,0.0535
148,10,8009,8168,6.67,10685.94,0.0531
149,42,497,655,6.62,10663.5,0.0529
150,57,8215,8297,3.46,10574.4,0.0525
151,44,8032,8153,5.08,10498.4,0.0521
152,36,8559,8599,1.71,10418.38,0.0517
153,8,1326,1440,4.79,10306.19,0.0512
154,17,7914,7989,3.17,10207.38,0.0507
155,17,6,80,3.12,9982.15,0.0496
156,1,8045,8071,1.12,9836.02,0.0488
157,29,8057,8167,4.62,9738.0,0.0484
158,28,7793,7904,4.67,9480.23,0.0471
159,49,8224,8359,5.67,9403.16,0.0467
160,3,654,761,4.5,9402.68,0.0467
161,14,8057,8143,3.62,9316.13,0.0463
162,14,494,536,1.79,9208.59,0.0457
163,60,1352,1409,2.42,8867.4,0.044
164,28,8514,8585,3.0,8810.89,0.0438
165,11,7648,7770,5.12,8802.14,0.0437
166,50,4884,4948,2.71,8777.23,0.0436
167,28,4886,4959,3.08,8646.61,0.0429
168,29,509,625,4.88,8516.94,0.0423
169,1,1183,1266,3.5,8463.09,0.042
170,10,319,431,4.71,8451.0,0.042
171,55,1471,1514,1.83,8446.41,0.0419
172,53,4910,4959,2.08,8276.25,0.0411
173,8,4359,4407,2.04,8242.56,0.0409
174,39,17,113,4.04,8109.11,0.0403
175,3,846,919,3.08,8035.2,0.0399
176,20,655,753,4.12,7991.04,0.0397
