rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,160,390,9.62,128662.43,0.6389
2,45,8047,8191,6.04,90831.02,0.451
3,11,8383,8503,5.04,83575.34,0.415
4,24,550,727,7.42,79070.14,0.3926
5,44,246,344,4.12,72958.41,0.3623
6,9,151,378,9.5,68639.96,0.3408
7,47,303,390,3.67,67826.56,0.3368
8,42,879,1039,6.71,67177.72,0.3336
9,25,855,943,3.71,66059.23,0.328
10,27,151,269,4.96,65625.57,0.3259
11,13,8223,8287,2.71,64411.43,0.3198
12,22,159,245,3.62,62263.4,0.3092
13,20,63,174,4.67,62071.09,0.3082
14,55,8391,8503,4.71,61630.44,0.306
15,52,520,657,5.75,60048.54,0.2982
16,49,230,318,3.71,57927.73,0.2876
17,41,391,439,2.04,55959.58,0.2779
18,31,751,847,4.04,55190.13,0.274
19,18,255,343,3.71,54529.58,0.2708
20,50,1125,1255,5.46,50680.47,0.2517
21,38,118,223,4.42,49735.75,0.247
22,30,1303,1350,2.0,48909.86,0.2429
23,19,8199,8264,2.75,47395.52,0.2353
24,17,352,415,2.67,44090.08,0.2189
25,39,256,343,3.67,42424.56,0.2107
26,29,88,127,1.67,41735.33,0.2072
27,23,8431,8527,4.04,41246.66,0.2048
28,48,7927,7992,2.75,39479.93,0.196
29,35,159,223,2.71,39116.61,0.1942
30,46,655,697,1.79,38787.11,0.1926
31,57,79,127,2.04,38476.42,0.1911
32,53,7914,7951,1.58,38246.12,0.1899
33,54,8127,8239,4.71,37594.36,0.1867
34,51,232,271,1.67,37585.77,0.1866
35,59,63,199,5.71,37561.71,0.1865
36,15,790,847,2.42,36166.34,0.1796
37,1,713,752,1.67,35427.08,0.1759
38,32,8647,8759,4.71,35205.74,0.1748
39,30,8440,8537,4.08,34183.98,0.1697
40,21,8463,8599,5.71,34020.6,0.1689
41,46,1168,1206,1.62,33943.86,0.1685
42,1,8391,8455,2.71,33417.02,0.1659
43,10,1039,1082,1.83,32695.28,0.1623
44,37,399,434,1.5,32446.72,0.1611
45,60,8151,8278,5.33,32133.25,0.1596
46,8,8199,8227,1.21,31411.77,0.156
47,53,8454,8527,3.08,31111.84,0.1545
48,15,39,80,1.75,30879.5,0.1533
49,5,895,939,1.88,30302.38,0.1505
50,40,1024,1087,2.67,29997.49,0.149
51,2,40,79,1.67,29147.48,0.1447
52,7,8727,8743,0.71,28124.86,0.1397
53,58,495,535,1.71,27825.43,0.1382
54,60,879,895,0.71,27509.52,0.1366
55,34,832,871,1.67,27107.15,0.1346
56,6,8367,8384,0.75,27088.95,0.1345
57,33,8559,8575,0.71,27031.55,0.1342
58,4,7910,7968,2.46,26720.12,0.1327
59,32,8294,8327,1.42,25335.39,0.1258
60,57,422,458,1.54,25110.35,0.1247
61,26,317,343,1.12,25003.97,0.1242
62,34,375,391,0.71,24925.33,0.1238
63,43,832,893,2.58,24807.0,0.1232
64,28,592,631,1.67,24171.86,0.12
65,7,8047,8072,1.08,24117.52,0.1198
66,48,679,797,4.96,24061.17,0.1195
67,29,8342,8407,2.75,23154.54,0.115
68,5,545,583,1.62,22556.91,0.112
69,8,0,78,3.29,22024.57,0.1094
70,14,8729,8759,1.29,22001.08,0.1092
71,12,615,678,2.67,21578.37,0.1071
72,34,463,511,2.04,21424.0,0.1064
73,56,231,266,1.5,21351.98,0.106
74,54,7959,7976,0.75,21280.31,0.1057
75,36,7718,7735,0.75,20843.61,0.1035
76,38,904,919,0.67,19458.94,0.0966
77,36,8224,8286,2.62,19440.72,0.0965
78,12,783,847,2.71,19034.96,0.0945
79,18,8685,8753,2.88,18533.86,0.092
80,33,175,248,3.08,18178.55,0.0903
81,56,751,799,2.04,17338.25,0.0861
82,16,7934,7965,1.33,17334.19,0.0861
83,58,343,390,2.0,17127.1,0.085
84,10,199,246,2.0,16987.99,0.0844
85,35,80,103,1.0,15951.65,0.0792
86,40,678,694,0.71,15858.33,0.0787
87,25,0,31,1.33,15858.26,0.0787
88,33,0,71,3.0,15666.86,0.0778
89,44,151,169,0.79,15365.69,0.0763
90,23,161,189,1.21,15360.02,0.0763
91,22,792,823,1.33,15202.49,0.0755
92,44,8455,8479,1.04,15191.52,0.0754
93,43,55,103,2.04,14853.49,0.0738
94,32,63,79,0.71,13621.36,0.0676
95,5,4885,4958,3.08,13550.57,0.0673
96,33,8335,8359,1.04,13482.13,0.0669
97,16,8551,8598,2.0,13077.66,0.0649
