rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,88,416,13.71,141514.13,0.7027
2,44,41,391,14.62,122772.62,0.6096
3,45,8047,8193,6.12,91094.67,0.4523
4,13,8104,8288,7.71,90982.26,0.4518
5,24,544,799,10.67,88135.55,0.4376
6,11,8382,8503,5.08,83751.94,0.4159
7,49,90,320,9.62,77885.31,0.3867
8,35,0,247,10.33,75883.79,0.3768
9,41,328,488,6.71,72019.71,0.3576
10,9,149,401,10.54,71533.3,0.3552
11,25,847,991,6.04,71372.23,0.3544
12,42,870,1063,8.08,71096.15,0.353
13,37,328,607,11.67,70144.98,0.3483
14,47,303,415,4.71,69567.76,0.3454
15,51,232,439,8.67,65952.77,0.3275
16,27,151,270,5.0,65749.15,0.3265
17,20,55,174,5.0,62890.77,0.3123
18,52,520,671,6.33,62706.44,0.3114
19,31,750,896,6.12,62688.87,0.3113
20,22,159,246,3.67,62471.24,0.3102
21,55,8391,8503,4.71,61630.44,0.306
22,18,199,353,6.46,60993.56,0.3029
23,46,568,705,5.75,59545.51,0.2957
24,34,353,522,7.08,57980.91,0.2879
25,30,1254,1374,5.04,56860.43,0.2823
26,56,231,535,12.71,56295.69,0.2795
27,38,89,223,5.62,53167.59,0.264
28,53,7914,8071,6.58,52627.73,0.2613
29,19,8194,8287,3.92,51728.25,0.2569
30,50,1122,1255,5.58,51221.72,0.2543
31,39,255,382,5.33,49676.51,0.2467
32,21,8417,8671,10.62,49347.01,0.245
33,59,54,270,9.04,48132.59,0.239
34,17,328,416,3.71,48034.38,0.2385
35,33,0,250,10.46,43520.53,0.2161
36,15,785,871,3.62,42919.82,0.2131
37,29,87,127,1.71,42056.62,0.2088
38,23,8430,8527,4.08,41370.75,0.2054
39,57,63,128,2.75,41111.49,0.2041
40,48,7927,7999,3.04,41082.84,0.204
41,32,8608,8759,6.33,40038.44,0.1988
42,54,8126,8250,5.21,39803.69,0.1976
43,44,8381,8551,7.12,36867.63,0.1831
44,10,1024,1085,2.58,36448.52,0.181
45,1,703,753,2.12,36318.93,0.1803
46,33,8551,8624,3.08,34993.66,0.1738
47,60,8150,8285,5.67,34615.34,0.1719
48,30,8439,8537,4.12,34451.54,0.1711
49,46,1168,1208,1.71,34203.8,0.1698
50,8,8194,8233,1.67,34017.53,0.1689
51,1,8391,8455,2.71,33417.02,0.1659
52,53,8431,8528,4.08,32913.34,0.1634
53,43,832,945,4.75,31931.72,0.1586
54,15,31,80,2.08,31774.47,0.1578
55,4,7887,7975,3.71,31461.67,0.1562
56,32,8271,8336,2.75,31384.56,0.1558
57,5,895,941,1.96,30682.67,0.1524
58,7,8727,8759,1.38,30231.56,0.1501
59,40,1024,1087,2.67,29997.49,0.149
60,58,486,535,2.08,29577.82,0.1469
61,60,879,919,1.71,29552.29,0.1467
62,34,832,894,2.62,29445.67,0.1462
63,2,40,79,1.67,29147.48,0.1447
64,10,112,247,5.67,28907.22,0.1435
65,6,8367,8384,0.75,27088.95,0.1345
66,26,311,343,1.38,26295.86,0.1306
67,57,415,458,1.83,25754.63,0.1279
68,14,8695,8759,2.71,25052.67,0.1244
69,28,591,631,1.71,24480.95,0.1216
70,7,8046,8073,1.17,24471.23,0.1215
71,48,679,797,4.96,24061.17,0.1195
72,5,542,583,1.75,23376.69,0.1161
73,29,8341,8407,2.79,23361.62,0.116
74,43,30,151,5.08,22768.29,0.1131
75,36,8200,8286,3.62,22678.89,0.1126
76,12,783,871,3.71,22656.1,0.1125
77,8,0,79,3.33,22262.39,0.1105
78,32,0,79,3.33,22102.37,0.1097
79,12,615,678,2.67,21578.37,0.1071
80,16,495,655,6.71,21528.42,0.1069
81,54,7959,7976,0.75,21280.31,0.1057
82,36,7718,7735,0.75,20843.61,0.1035
83,57,535,669,5.62,20751.97,0.103
84,40,663,702,1.67,20619.04,0.1024
85,33,8272,8359,3.67,20327.69,0.1009
86,58,327,392,2.75,19814.69,0.0984
87,38,904,919,0.67,19458.94,0.0966
88,16,7934,7977,1.83,19421.06,0.0964
89,56,736,799,2.67,19083.8,0.0948
90,18,8685,8753,2.88,18533.86,0.092
91,26,159,222,2.67,16626.8,0.0826
92,16,8527,8599,3.04,16360.4,0.0812
93,25,0,32,1.38,16066.57,0.0798
94,23,161,189,1.21,15360.02,0.0763
95,27,7,80,3.08,15355.93,0.0762
96,22,792,824,1.38,15339.02,0.0762
97,31,295,415,5.04,15173.91,0.0753
98,41,7,79,3.04,14781.21,0.0734
99,11,30,94,2.71,14599.37,0.0725
100,5,4885,4958,3.08,13550.57,0.0673
101,43,7910,7927,0.75,12974.7,0.0644
