rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
671,39,8214,8216,0.12,264.63,0.0013
672,48,8167,8167,0.04,264.3,0.0013
673,54,4527,4529,0.12,257.31,0.0013
674,24,8585,8585,0.04,248.2,0.0012
675,6,7399,7399,0.04,246.85,0.0012
676,4,4453,4453,0.04,210.41,0.001
677,22,5701,5701,0.04,209.49,0.001
678,41,6229,6229,0.04,207.08,0.001
679,60,5965,5965,0.04,204.7,0.001
680,19,6037,6037,0.04,204.69,0.001
681,55,5797,5797,0.04,204.08,0.001
682,8,4044,4044,0.04,202.14,0.001
683,26,6108,6108,0.04,201.21,0.001
684,42,5749,5749,0.04,200.55,0.001
685,49,4069,4069,0.04,199.53,0.001
686,15,6060,6060,0.04,198.79,0.001
687,13,3684,3684,0.04,195.8,0.001
688,12,4357,4357,0.04,195.75,0.001
689,58,4911,4911,0.04,195.75,0.001
690,22,4936,4936,0.04,195.34,0.001
691,29,4740,4740,0.04,195.08,0.001
692,32,4768,4768,0.04,193.25,0.001
693,3,5750,5750,0.04,193.17,0.001
694,54,4935,4935,0.04,192.87,0.001
695,18,4237,4237,0.04,192.53,0.001
696,20,5582,5582,0.04,192.44,0.001
697,47,5295,5295,0.04,191.77,0.001
698,9,5080,5080,0.04,191.11,0.0009
699,24,4261,4261,0.04,190.77,0.0009
700,48,5271,5271,0.04,190.74,0.0009
701,16,5965,5965,0.04,189.81,0.0009
702,36,5055,5055,0.04,189.03,0.0009
703,14,4624,4624,0.04,188.55,0.0009
704,41,4740,4740,0.04,188.48,0.0009
705,3,5627,5627,0.04,188.44,0.0009
706,35,3061,3061,0.04,186.75,0.0009
707,28,5869,5869,0.04,186.41,0.0009
708,4,4935,4935,0.04,184.96,0.0009
709,8,5774,5774,0.04,184.61,0.0009
710,16,6421,6421,0.04,184.54,0.0009
711,15,4744,4744,0.04,184.48,0.0009
712,54,5390,5390,0.04,184.18,0.0009
713,55,5917,5917,0.04,184.14,0.0009
714,38,5199,5199,0.04,183.25,0.0009
715,37,4405,4405,0.04,183.22,0.0009
716,50,5102,5102,0.04,182.89,0.0009
717,59,5389,5389,0.04,182.78,0.0009
718,21,4984,4984,0.04,182.69,0.0009
719,26,6037,6037,0.04,182.18,0.0009
720,48,4285,4285,0.04,180.3,0.0009
721,13,4695,4695,0.04,180.05,0.0009
722,3,5701,5701,0.04,179.71,0.0009
723,1,5080,5080,0.04,179.58,0.0009
724,6,6229,6229,0.04,179.26,0.0009
725,30,5031,5031,0.04,179.02,0.0009
726,60,6733,6733,0.04,178.23,0.0009
727,59,6109,6109,0.04,178.12,0.0009
728,55,4959,4959,0.04,177.78,0.0009
729,42,6109,6109,0.04,176.86,0.0009
730,20,4648,4648,0.04,176.85,0.0009
731,59,5920,5920,0.04,176.8,0.0009
732,36,5797,5797,0.04,176.22,0.0009
733,6,6301,6301,0.04,175.93,0.0009
734,44,5630,5630,0.04,175.58,0.0009
735,52,4743,4743,0.04,175.39,0.0009
736,17,4862,4862,0.04,174.81,0.0009
737,56,4046,4046,0.04,174.67,0.0009
738,58,5916,5916,0.04,173.63,0.0009
739,39,5246,5246,0.04,172.66,0.0009
740,53,3444,3444,0.04,171.04,0.0008
741,29,8239,8240,0.08,170.82,0.0008
742,18,665,666,0.08,170.78,0.0008
743,49,6133,6133,0.04,170.74,0.0008
744,19,5631,5631,0.04,170.71,0.0008
745,15,4117,4117,0.04,170.26,0.0008
746,25,1169,1170,0.08,170.23,0.0008
747,34,5556,5556,0.04,170.21,0.0008
748,18,5558,5558,0.04,170.02,0.0008
749,56,5629,5629,0.04,169.41,0.0008
750,44,6230,6230,0.04,168.91,0.0008
751,2,4215,4215,0.04,168.44,0.0008
752,25,4623,4623,0.04,168.25,0.0008
753,5,4551,4551,0.04,167.62,0.0008
754,10,6109,6109,0.04,167.22,0.0008
755,60,4239,4239,0.04,165.18,0.0008
756,24,6061,6061,0.04,165.12,0.0008
757,36,4742,4742,0.04,164.83,0.0008
758,33,6229,6229,0.04,164.35,0.0008
759,48,5389,5389,0.04,162.5,0.0008
760,11,5463,5463,0.04,159.84,0.0008
761,13,5798,5798,0.04,156.1,0.0008
762,42,5126,5126,0.04,153.94,0.0008
