rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,160,366,8.62,122460.88,0.6081
2,45,8071,8191,5.04,86864.15,0.4313
3,24,559,727,7.04,77052.42,0.3826
4,11,8383,8456,3.08,73892.03,0.3669
5,25,856,943,3.67,65596.74,0.3257
6,13,8223,8286,2.67,63932.27,0.3175
7,44,247,311,2.71,63017.85,0.3129
8,27,160,257,4.08,59391.43,0.2949
9,47,304,367,2.67,58945.82,0.2927
10,55,8393,8479,3.62,57817.97,0.2871
11,22,159,223,2.71,55655.59,0.2764
12,20,63,151,3.71,54886.83,0.2725
13,18,255,343,3.71,54529.58,0.2708
14,42,880,967,3.67,53352.64,0.2649
15,52,534,656,5.12,52938.72,0.2629
16,41,415,439,1.04,52077.83,0.2586
17,50,1126,1255,5.42,50339.18,0.25
18,30,1303,1350,2.0,48909.86,0.2429
19,38,120,223,4.33,48821.73,0.2424
20,49,231,271,1.71,47347.1,0.2351
21,19,8201,8263,2.62,45864.15,0.2277
22,31,822,847,1.08,43219.22,0.2146
23,29,88,127,1.67,41735.33,0.2072
24,17,367,415,2.04,39591.84,0.1966
25,57,79,127,2.04,38476.42,0.1911
26,53,7914,7951,1.58,38246.12,0.1899
27,46,655,695,1.71,37827.07,0.1878
28,51,232,271,1.67,37585.77,0.1866
29,48,7959,7992,1.42,36703.57,0.1822
30,54,8129,8239,4.62,36682.64,0.1821
31,32,8647,8759,4.71,35205.74,0.1748
32,21,8463,8599,5.71,34020.6,0.1689
33,39,280,343,2.67,33973.81,0.1687
34,46,1168,1206,1.62,33943.86,0.1685
35,23,8431,8455,1.04,33368.64,0.1657
36,1,727,751,1.04,33295.36,0.1653
37,30,8441,8527,3.62,32387.57,0.1608
38,15,799,847,2.04,32154.63,0.1597
39,35,174,223,2.08,31761.6,0.1577
40,37,400,432,1.38,31004.6,0.154
41,53,8455,8527,3.04,30742.06,0.1526
42,5,895,939,1.88,30302.38,0.1505
43,9,199,249,2.12,29131.77,0.1447
44,8,8199,8216,0.75,28933.45,0.1437
45,7,8728,8743,0.67,27679.5,0.1374
46,60,879,895,0.71,27509.52,0.1366
47,6,8367,8384,0.75,27088.95,0.1345
48,33,8559,8575,0.71,27031.55,0.1342
49,34,833,871,1.62,26601.0,0.1321
50,10,1047,1063,0.71,26073.38,0.1295
51,26,317,343,1.12,25003.97,0.1242
52,34,375,391,0.71,24925.33,0.1238
53,43,832,893,2.58,24807.0,0.1232
54,58,495,513,0.79,24770.31,0.123
55,1,8407,8455,2.04,24164.45,0.12
56,7,8047,8072,1.08,24117.52,0.1198
57,2,41,57,0.71,23916.18,0.1188
58,57,424,457,1.42,23573.2,0.1171
59,60,8167,8262,4.0,22762.22,0.113
60,14,8729,8759,1.29,22001.08,0.1092
61,34,463,511,2.04,21424.0,0.1064
62,54,7959,7976,0.75,21280.31,0.1057
63,32,8294,8311,0.75,20894.65,0.1038
64,36,7719,7735,0.71,20286.21,0.1007
65,38,904,919,0.67,19458.94,0.0966
66,15,63,79,0.71,18723.2,0.093
67,56,751,799,2.04,17338.25,0.0861
68,58,343,390,2.0,17127.1,0.085
69,28,616,631,0.67,17048.48,0.0847
70,5,559,583,1.04,16575.43,0.0823
71,29,8359,8407,2.04,16528.78,0.0821
72,12,615,655,1.71,16379.56,0.0813
73,18,8687,8743,2.38,16244.52,0.0807
74,44,151,169,0.79,15365.69,0.0763
75,44,8455,8479,1.04,15191.52,0.0754
76,43,55,103,2.04,14853.49,0.0738
77,23,161,187,1.12,14312.13,0.0711
78,59,127,185,2.46,13599.05,0.0675
