rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,57,0,1183,49.33,359355.53,1.3453
2,22,39,920,36.75,325552.21,1.2188
3,53,209,656,18.67,255171.12,0.9553
4,51,645,1507,35.96,238010.41,0.891
5,16,521,1437,38.21,236131.1,0.884
6,14,976,1591,25.67,224566.97,0.8407
7,17,454,1267,33.92,216392.77,0.8101
8,52,629,1375,31.12,214102.83,0.8015
9,35,209,825,25.71,210520.22,0.7881
10,30,7589,8369,32.54,197642.79,0.7399
11,21,0,549,22.92,193832.66,0.7257
12,12,8272,8759,20.33,187712.41,0.7027
13,58,495,1272,32.42,184963.02,0.6924
14,59,833,1567,30.62,168836.0,0.6321
15,50,102,821,30.0,168804.89,0.632
16,25,0,793,33.08,168132.67,0.6294
17,34,8118,8623,21.08,157772.31,0.5907
18,31,856,1332,19.88,153234.68,0.5737
19,25,1292,1609,13.25,144819.54,0.5422
20,43,149,713,23.54,139852.32,0.5236
21,46,761,1266,21.08,134698.58,0.5043
22,38,7806,8088,11.79,126060.59,0.4719
23,15,872,1112,10.04,125661.32,0.4704
24,4,616,801,7.75,119203.99,0.4463
25,59,223,775,23.04,119091.19,0.4458
26,54,0,247,10.33,117368.18,0.4394
27,58,113,415,12.62,115990.75,0.4342
28,48,0,273,11.42,115940.51,0.434
29,12,0,603,25.17,113384.42,0.4245
30,32,1302,1609,12.83,109702.03,0.4107
31,44,1158,1439,11.75,101529.25,0.3801
32,46,0,213,8.92,100918.06,0.3778
33,7,31,393,15.12,100139.13,0.3749
34,19,965,1206,10.08,96672.74,0.3619
35,13,16,281,11.08,94340.66,0.3532
36,11,1158,1400,10.12,91344.74,0.342
37,37,584,1018,18.12,91061.9,0.3409
38,56,0,281,11.75,91009.17,0.3407
39,52,8240,8759,21.67,88469.19,0.3312
40,23,8668,8759,3.83,87582.66,0.3279
41,44,496,921,17.75,86009.24,0.322
42,27,7967,8183,9.04,84502.93,0.3164
43,26,918,1160,10.12,83237.75,0.3116
44,48,1256,1856,25.04,82979.85,0.3107
45,8,487,705,9.12,82948.45,0.3105
46,18,462,705,10.17,82526.1,0.309
47,8,56,359,12.67,82164.37,0.3076
48,37,184,416,9.71,81347.88,0.3045
49,47,8047,8456,17.08,78982.6,0.2957
50,52,0,295,12.33,78674.98,0.2945
