rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,57,0,1182,49.29,359235.56,1.3449
2,22,41,905,36.04,323380.04,1.2106
3,53,224,632,17.04,250816.08,0.939
4,14,989,1529,22.54,215479.98,0.8067
5,51,645,1295,27.12,213239.04,0.7983
6,52,648,1352,29.38,209090.69,0.7828
7,16,545,1207,27.62,207271.05,0.776
8,35,304,776,19.71,193353.35,0.7239
9,17,480,1087,25.33,190855.22,0.7145
10,21,0,521,21.75,190374.57,0.7127
11,12,8287,8753,19.46,185321.71,0.6938
12,58,520,1255,30.67,180013.34,0.6739
13,30,7745,8364,25.83,165344.79,0.619
14,25,0,719,30.0,159838.01,0.5984
15,34,8143,8623,20.04,154936.86,0.58
16,31,870,1270,16.71,143350.24,0.5367
17,25,1326,1557,9.67,134551.94,0.5037
18,46,822,1254,18.04,125948.17,0.4715
19,15,893,1112,9.17,123324.77,0.4617
20,38,7817,8073,10.71,122981.33,0.4604
21,4,629,793,6.88,116634.18,0.4366
22,48,4,265,10.92,114386.92,0.4282
23,54,5,225,9.21,114293.46,0.4279
24,59,246,752,21.12,113947.89,0.4266
25,59,869,1122,10.58,112595.57,0.4215
26,58,136,393,10.75,110613.15,0.4141
27,43,151,480,13.75,109238.39,0.409
28,46,0,200,8.38,99374.26,0.372
29,50,496,821,13.58,90443.0,0.3386
30,56,0,272,11.38,90087.36,0.3373
31,32,1319,1447,5.38,89920.4,0.3366
32,13,29,257,9.54,89904.35,0.3366
33,44,1217,1376,6.67,87861.8,0.3289
34,23,8671,8759,3.71,87204.8,0.3265
35,12,0,368,15.38,84753.42,0.3173
36,7,150,390,10.04,84212.7,0.3153
37,27,7974,8178,8.54,83010.75,0.3108
38,18,462,704,10.12,82399.5,0.3085
39,11,1181,1327,6.12,80638.14,0.3019
40,37,653,992,14.17,80165.98,0.3001
41,8,509,689,7.54,78450.33,0.2937
42,44,535,886,14.67,77184.68,0.289
43,37,198,391,8.08,76806.62,0.2875
44,52,0,273,11.42,76184.48,0.2852
45,18,4,288,11.88,74202.38,0.2778
46,52,8375,8759,16.04,73588.71,0.2755
47,1,329,487,6.62,72383.27,0.271
48,30,880,1231,14.67,71882.0,0.2691
49,26,919,1040,5.08,71878.85,0.2691
50,8,77,267,7.96,68655.4,0.257
51,47,8126,8433,12.83,67967.44,0.2545
52,47,545,689,6.04,66601.58,0.2493
53,48,8081,8321,10.04,64724.17,0.2423
54,41,1135,1290,6.5,64701.96,0.2422
55,28,103,199,4.04,60764.88,0.2275
56,2,8246,8431,7.75,58766.66,0.22
57,44,119,343,9.38,58276.02,0.2182
58,50,113,368,10.67,55194.94,0.2066
59,51,0,258,10.79,54743.29,0.2049
60,49,785,919,5.62,54200.38,0.2029
61,55,7814,7881,2.83,53322.4,0.1996
62,11,8645,8759,4.79,53119.58,0.1989
63,6,1303,1351,2.04,50904.92,0.1906
64,39,126,257,5.5,50898.21,0.1905
65,19,977,1033,2.38,49776.16,0.1863
66,45,149,271,5.12,48802.95,0.1827
67,33,1069,1211,5.96,48662.18,0.1822
68,45,8450,8527,3.25,46418.61,0.1738
69,33,175,224,2.08,43827.38,0.1641
70,56,8200,8417,9.08,43115.27,0.1614
71,54,869,968,4.17,42727.42,0.16
72,42,8261,8336,3.17,42139.2,0.1578
73,3,1926,1977,2.17,41801.84,0.1565
74,38,8359,8489,5.46,40124.31,0.1502
75,19,1086,1206,5.04,40049.65,0.1499
76,15,8384,8505,5.08,39190.57,0.1467
77,21,7854,8033,7.5,38636.27,0.1446
78,54,8432,8576,6.04,37288.26,0.1396
79,48,1613,1833,9.21,37029.44,0.1386
80,20,487,533,1.96,36433.22,0.1364
81,36,271,438,7.0,36071.73,0.135
82,5,8055,8144,3.75,35152.82,0.1316
83,42,1360,1447,3.67,35112.9,0.1315
84,39,8646,8759,4.75,35015.44,0.1311
85,3,1097,1184,3.67,34415.85,0.1288
86,13,8126,8167,1.75,33106.36,0.1239
87,24,8383,8527,6.04,31587.74,0.1183
88,6,222,318,4.04,31074.14,0.1163
89,10,7982,8047,2.75,30780.04,0.1152
90,43,1589,1664,3.17,30377.64,0.1137
91,9,310,367,2.42,30348.93,0.1136
92,29,79,123,1.88,29260.41,0.1095
93,40,760,799,1.67,29064.83,0.1088
94,35,1025,1185,6.71,29016.7,0.1086
95,53,8104,8312,8.71,28875.36,0.1081
96,5,713,847,5.62,28704.17,0.1075
97,1,965,1053,3.71,28287.26,0.1059
98,9,687,752,2.75,28235.66,0.1057
99,10,496,581,3.58,26339.1,0.0986
100,24,0,30,1.29,25502.84,0.0955
101,55,8680,8759,3.33,25404.49,0.0951
102,56,725,775,2.12,25182.48,0.0943
103,25,982,1080,4.12,24593.15,0.0921
104,36,688,762,3.12,24222.25,0.0907
105,4,8166,8230,2.71,24129.49,0.0903
106,24,7974,8048,3.12,23540.01,0.0881
107,29,7951,7978,1.17,23383.52,0.0875
108,5,327,390,2.67,22529.96,0.0843
109,11,8406,8502,4.04,22388.82,0.0838
110,42,8430,8479,2.08,22132.73,0.0829
111,29,8670,8719,2.08,22103.9,0.0828
112,30,7590,7665,3.17,21936.8,0.0821
113,45,8719,8759,1.71,21444.46,0.0803
114,40,8175,8233,2.46,21352.64,0.0799
115,4,342,440,4.12,20842.38,0.078
116,17,1328,1448,5.04,20443.45,0.0765
117,12,7785,7890,4.42,20178.3,0.0755
118,20,335,415,3.38,19929.66,0.0746
119,14,8597,8672,3.17,19444.76,0.0728
120,50,1015,1075,2.54,19232.93,0.072
121,47,17,80,2.67,19071.03,0.0714
122,40,0,55,2.33,18556.1,0.0695
123,10,184,319,5.67,18023.96,0.0675
124,60,7935,7967,1.38,18003.6,0.0674
125,15,488,607,5.0,17666.03,0.0661
126,60,8311,8359,2.04,17581.68,0.0658
127,36,815,895,3.38,17402.52,0.0652
128,41,8224,8263,1.67,16720.26,0.0626
129,48,1351,1470,5.0,16620.99,0.0622
130,9,1720,1745,1.08,16438.17,0.0615
131,49,319,367,2.04,16132.6,0.0604
132,31,7879,7937,2.46,15511.33,0.0581
133,2,463,559,4.04,15327.34,0.0574
134,12,487,602,4.83,15292.79,0.0573
135,23,750,799,2.08,15237.84,0.057
136,53,0,90,3.79,14894.35,0.0558
137,16,222,273,2.17,14797.01,0.0554
138,16,8441,8503,2.62,14048.08,0.0526
139,20,711,722,0.5,13828.63,0.0518
140,26,30,126,4.04,13695.6,0.0513
141,3,7719,7736,0.75,13405.5,0.0502
142,40,8431,8479,2.04,13166.98,0.0493
143,1,8047,8106,2.5,12613.7,0.0472
144,22,1793,1879,3.62,12386.46,0.0464
145,53,7816,7913,4.08,12048.95,0.0451
146,35,53,102,2.08,11994.71,0.0449
147,49,7598,7698,4.21,11925.6,0.0446
148,32,55,127,3.04,11915.89,0.0446
149,15,1205,1281,3.21,11844.42,0.0443
150,7,8223,8263,1.71,11757.98,0.044
151,60,487,535,2.04,11570.76,0.0433
152,60,999,1037,1.62,11355.93,0.0425
153,42,1228,1235,0.33,11153.45,0.0418
154,47,8743,8759,0.71,10998.06,0.0412
155,24,8200,8256,2.38,10976.17,0.0411
156,17,341,369,1.21,10479.69,0.0392
157,45,678,752,3.12,10257.05,0.0384
158,4,150,209,2.5,10194.26,0.0382
159,25,895,921,1.12,10124.02,0.0379
160,14,8095,8168,3.08,10121.57,0.0379
161,39,1081,1089,0.38,10076.71,0.0377
162,41,7792,7807,0.67,9997.53,0.0374
163,24,8728,8759,1.33,9735.14,0.0364
164,31,725,751,1.12,9585.87,0.0359
165,22,992,1064,3.04,9569.1,0.0358
166,50,424,435,0.5,9568.57,0.0358
167,13,390,405,0.67,9469.8,0.0355
168,3,752,800,2.04,9439.05,0.0353
169,9,977,1039,2.62,9427.08,0.0353
170,56,8704,8759,2.33,9137.91,0.0342
171,28,0,30,1.29,8939.37,0.0335
172,60,376,391,0.67,8721.35,0.0327
173,23,8415,8472,2.42,8494.05,0.0318
174,58,1542,1604,2.62,8440.6,0.0316
175,39,1255,1303,2.04,8321.81,0.0312
176,60,175,247,3.04,8059.06,0.0302
177,43,647,679,1.38,7975.67,0.0299
178,41,8431,8529,4.12,7860.59,0.0294
179,38,617,680,2.67,7847.64,0.0294
180,3,7888,7901,0.58,7820.68,0.0293
181,46,8455,8513,2.46,7528.77,0.0282
182,53,8622,8672,2.12,7508.73,0.0281
183,32,8238,8287,2.08,7464.93,0.0279
184,20,583,631,2.04,7188.81,0.0269
185,6,664,694,1.29,7168.49,0.0268
186,59,1206,1256,2.12,6911.54,0.0259
187,9,1231,1255,1.04,6882.69,0.0258
188,7,40,80,1.71,6874.12,0.0257
189,28,8383,8408,1.08,6840.28,0.0256
190,56,8526,8575,2.08,6811.48,0.0255
191,45,8333,8384,2.17,6734.35,0.0252
192,50,8718,8759,1.75,6541.6,0.0245
193,43,1399,1447,2.04,6269.1,0.0235
194,32,985,1015,1.29,6257.2,0.0234
195,50,1241,1279,1.62,6116.89,0.0229
196,31,7630,7640,0.46,6069.53,0.0227
197,13,848,860,0.54,5981.78,0.0224
198,5,1350,1375,1.08,5974.72,0.0224
199,60,1183,1207,1.04,5928.25,0.0222
200,56,593,602,0.42,5847.98,0.0219
201,5,1255,1299,1.88,5817.09,0.0218
202,24,712,719,0.33,5644.01,0.0211
203,26,2467,2480,0.58,5603.37,0.021
204,49,8201,8207,0.29,5430.53,0.0203
205,28,1568,1583,0.67,5397.42,0.0202
206,27,8742,8753,0.5,5281.51,0.0198
207,34,150,162,0.54,5243.53,0.0196
208,43,7376,7390,0.62,4988.99,0.0187
209,20,7409,7418,0.42,4943.24,0.0185
210,7,8551,8562,0.5,4864.06,0.0182
211,7,1960,1969,0.42,4831.59,0.0181
212,57,8407,8441,1.46,4601.32,0.0172
213,23,327,339,0.54,4590.24,0.0172
214,42,918,943,1.08,4569.64,0.0171
215,27,1144,1151,0.33,4534.48,0.017
216,25,8632,8663,1.33,4497.04,0.0168
217,19,8527,8527,0.04,4451.64,0.0167
218,36,4406,4525,5.0,4344.5,0.0163
219,18,1696,1702,0.29,4263.85,0.016
220,33,8390,8408,0.79,4255.41,0.0159
221,5,5102,5150,2.04,4186.71,0.0157
222,25,8248,8256,0.38,4125.58,0.0154
223,27,518,535,0.75,3983.74,0.0149
224,29,1074,1087,0.58,3798.52,0.0142
225,4,8429,8457,1.21,3624.25,0.0136
226,16,7744,7749,0.25,3591.53,0.0134
227,19,5269,5318,2.08,3569.75,0.0134
228,23,930,936,0.29,3487.98,0.0131
229,10,8672,8684,0.54,3464.05,0.013
230,1,4239,4285,1.96,3349.93,0.0125
231,5,151,151,0.04,3333.07,0.0125
232,15,8286,8311,1.08,3332.03,0.0125
233,32,207,215,0.38,3284.15,0.0123
234,46,2575,2590,0.67,3281.85,0.0123
235,36,8479,8503,1.04,3257.71,0.0122
236,39,4862,4959,4.08,3214.12,0.012
237,2,5077,5125,2.04,3168.45,0.0119
238,9,8128,8143,0.67,3052.33,0.0114
239,56,5006,5078,3.04,3029.5,0.0113
240,33,327,342,0.67,3022.69,0.0113
241,42,5462,5581,5.0,3015.78,0.0113
242,53,5510,5629,5.0,2925.98,0.011
243,6,4911,4959,2.04,2919.45,0.0109
244,19,727,751,1.04,2885.2,0.0108
245,44,7808,7818,0.46,2870.1,0.0107
246,55,5557,5605,2.04,2715.37,0.0102
247,15,424,432,0.38,2695.47,0.0101
248,38,5150,5222,3.04,2676.91,0.01
249,26,705,719,0.62,2669.44,0.01
250,19,352,361,0.42,2659.41,0.01
251,45,4885,4909,1.04,2635.78,0.0099
252,5,7433,7438,0.25,2589.21,0.0097
253,60,5703,5750,2.0,2542.97,0.0095
254,24,5222,5270,2.04,2523.14,0.0094
255,8,351,359,0.38,2494.41,0.0093
256,4,4597,4647,2.12,2490.97,0.0093
257,49,4357,4358,0.08,2467.93,0.0092
258,6,8585,8591,0.29,2452.0,0.0092
259,23,1185,1194,0.42,2407.12,0.009
260,16,2262,2278,0.71,2385.83,0.0089
261,3,4334,4382,2.04,2383.09,0.0089
262,31,1328,1332,0.21,2376.93,0.0089
263,7,7855,7866,0.5,2335.25,0.0087
264,4,1240,1245,0.25,2267.95,0.0085
265,42,729,743,0.62,2227.57,0.0083
266,8,5270,5294,1.04,2210.45,0.0083
267,23,8575,8592,0.75,2136.74,0.008
268,27,4213,4261,2.04,2128.24,0.008
269,50,7231,7242,0.5,2113.24,0.0079
270,60,15,23,0.38,2080.69,0.0078
271,30,5031,5077,1.96,2072.67,0.0078
272,52,5271,5294,1.0,2071.69,0.0078
273,34,472,476,0.21,2070.2,0.0078
274,14,4861,4933,3.04,2064.27,0.0077
275,21,1855,1865,0.46,2055.21,0.0077
276,25,5702,5750,2.04,2044.62,0.0077
277,29,4934,4983,2.08,1990.13,0.0075
278,24,184,192,0.38,1982.05,0.0074
279,20,8527,8527,0.04,1978.53,0.0074
280,48,4525,4550,1.08,1964.9,0.0074
281,39,737,745,0.38,1893.98,0.0071
282,15,6,7,0.08,1886.84,0.0071
283,28,449,463,0.62,1830.69,0.0069
284,9,8310,8313,0.17,1820.7,0.0068
285,28,1385,1395,0.46,1801.42,0.0067
286,57,7807,7819,0.54,1795.46,0.0067
287,10,4742,4743,0.08,1792.3,0.0067
288,58,5319,5367,2.04,1779.19,0.0067
289,56,5701,5749,2.04,1770.94,0.0066
290,12,4692,4741,2.08,1752.19,0.0066
291,15,4383,4405,0.96,1740.76,0.0065
292,30,5199,5245,1.96,1700.37,0.0064
293,45,5221,5292,3.0,1681.51,0.0063
294,2,5774,5797,1.0,1675.42,0.0063
295,46,8383,8394,0.5,1647.23,0.0062
296,5,5486,5556,2.96,1638.45,0.0061
297,28,5246,5247,0.08,1618.91,0.0061
298,35,5701,5724,1.0,1613.15,0.006
299,42,4862,4885,1.0,1601.01,0.006
300,42,8080,8088,0.38,1590.22,0.006
301,13,4910,4910,0.04,1589.56,0.006
302,27,424,432,0.38,1587.94,0.0059
303,22,4910,4957,2.0,1538.16,0.0058
304,17,1233,1235,0.12,1509.9,0.0057
305,20,4887,4910,1.0,1495.83,0.0056
306,34,5029,5053,1.04,1479.51,0.0055
307,18,5558,5605,2.0,1462.91,0.0055
308,46,8128,8135,0.33,1461.02,0.0055
309,31,4789,4813,1.04,1448.97,0.0054
310,21,5102,5149,2.0,1428.81,0.0053
311,32,305,313,0.38,1419.19,0.0053
312,47,5271,5293,0.96,1403.78,0.0053
313,3,1025,1032,0.33,1390.82,0.0052
314,55,5942,5942,0.04,1389.75,0.0052
315,32,4909,4934,1.08,1377.23,0.0052
316,33,4742,4742,0.04,1365.96,0.0051
317,45,809,816,0.33,1363.26,0.0051
318,9,5102,5102,0.04,1338.41,0.005
319,30,424,432,0.38,1335.3,0.005
320,41,5510,5532,0.96,1328.59,0.005
321,54,5774,5797,1.0,1303.76,0.0049
322,22,8229,8234,0.25,1303.74,0.0049
323,16,6255,6278,1.0,1296.52,0.0049
324,40,112,120,0.38,1295.4,0.0048
325,18,4285,4287,0.12,1265.16,0.0047
326,11,5055,5076,0.92,1262.86,0.0047
327,43,5199,5222,1.0,1239.4,0.0046
328,9,904,911,0.33,1221.57,0.0046
329,29,390,391,0.08,1220.22,0.0046
330,20,4287,4287,0.04,1204.24,0.0045
331,7,8623,8623,0.04,1188.59,0.0044
332,51,4861,4862,0.08,1188.32,0.0044
333,7,4623,4623,0.04,1184.21,0.0044
334,50,4862,4863,0.08,1181.53,0.0044
335,36,1111,1121,0.46,1181.11,0.0044
336,59,4719,4742,1.0,1180.25,0.0044
337,8,4765,4789,1.04,1150.51,0.0043
338,24,4358,4358,0.04,1129.05,0.0042
339,51,4406,4406,0.04,1121.12,0.0042
340,12,4479,4479,0.04,1104.76,0.0041
341,40,4622,4622,0.04,1104.75,0.0041
342,53,4959,4959,0.04,1100.43,0.0041
343,57,4911,4911,0.04,1098.88,0.0041
344,17,4623,4623,0.04,1096.54,0.0041
345,47,4359,4359,0.04,1083.91,0.0041
346,18,4958,4958,0.04,1073.9,0.004
347,27,5701,5725,1.04,1073.26,0.004
348,45,4719,4719,0.04,1068.01,0.004
349,9,4454,4454,0.04,1052.8,0.0039
350,43,5078,5126,2.04,1043.16,0.0039
351,35,5175,5175,0.04,1040.34,0.0039
352,26,6470,6470,0.04,1037.45,0.0039
353,5,8359,8359,0.04,1036.15,0.0039
354,33,4934,4934,0.04,1035.36,0.0039
355,59,4502,4502,0.04,1029.23,0.0039
356,37,5871,5871,0.04,1027.08,0.0038
