rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,53,341,626,11.92,229594.1,0.8595
2,14,1030,1468,18.29,199880.5,0.7483
3,22,501,730,9.58,194185.58,0.727
4,57,904,1129,9.42,170359.3,0.6378
5,21,139,440,12.58,156961.43,0.5876
6,35,510,728,9.12,145206.7,0.5436
7,25,1375,1537,6.79,124046.31,0.4644
8,15,895,1085,7.96,119129.72,0.446
9,52,677,839,6.79,114768.62,0.4297
10,12,8502,8673,7.17,113282.29,0.4241
11,16,799,920,5.08,109514.43,0.41
12,51,904,1134,9.62,104508.36,0.3912
13,38,7903,8071,7.04,103416.88,0.3872
14,54,80,223,6.0,101971.64,0.3818
15,4,656,728,3.04,100665.18,0.3769
16,59,896,1015,5.0,93656.54,0.3506
17,17,510,703,8.08,92041.63,0.3446
18,58,259,391,5.54,91116.33,0.3411
19,34,8273,8432,6.67,89767.44,0.3361
20,48,127,224,4.08,86104.75,0.3224
21,23,8691,8759,2.88,84508.95,0.3164
22,31,870,1088,9.12,82468.65,0.3087
23,44,1228,1343,4.83,81145.41,0.3038
24,46,953,1135,7.62,79337.6,0.297
25,30,8214,8335,5.08,79216.83,0.2966
26,32,1350,1400,2.12,78783.56,0.2949
27,8,534,682,6.21,73279.03,0.2743
28,52,30,270,10.04,70755.16,0.2649
29,11,1197,1274,3.25,70602.31,0.2643
30,56,67,210,6.0,70436.14,0.2637
31,1,352,487,5.67,69518.14,0.2603
32,58,1014,1183,7.08,68327.73,0.2558
33,26,919,1015,4.04,68051.42,0.2548
34,13,63,127,2.71,67379.82,0.2523
35,37,246,367,5.08,66167.57,0.2477
36,51,654,848,8.12,60551.9,0.2267
37,46,89,153,2.71,59414.08,0.2224
38,43,237,320,3.5,57366.26,0.2148
39,28,112,176,2.71,56796.41,0.2126
40,47,606,680,3.12,55996.97,0.2096
41,49,785,918,5.58,54026.59,0.2023
42,7,199,271,3.04,53742.25,0.2012
43,25,434,600,6.96,53237.84,0.1993
44,18,655,680,1.08,52285.67,0.1957
45,2,8311,8431,5.04,51460.44,0.1927
46,6,1303,1350,2.0,50766.74,0.1901
47,57,40,189,6.25,50483.95,0.189
48,17,831,919,3.71,50247.19,0.1881
49,19,977,1033,2.38,49776.16,0.1863
50,41,1216,1278,2.62,49750.33,0.1863
51,39,127,247,5.04,49423.46,0.185
52,55,7839,7878,1.67,49311.8,0.1846
53,50,702,821,5.0,49227.11,0.1843
54,44,141,295,6.46,48423.64,0.1813
55,37,830,966,5.71,48037.91,0.1798
56,11,8681,8759,3.29,47929.79,0.1794
57,33,1073,1211,5.79,47830.5,0.1791
58,45,8450,8517,2.83,45096.23,0.1688
59,27,8105,8167,2.62,45096.03,0.1688
60,59,642,749,4.5,42988.71,0.1609
61,33,183,223,1.71,42677.05,0.1598
62,31,1193,1248,2.33,41632.7,0.1559
63,3,1927,1975,2.04,41369.32,0.1549
64,19,1088,1206,4.96,39688.0,0.1486
65,44,679,790,4.67,39137.38,0.1465
66,42,8295,8335,1.71,37307.45,0.1397
67,8,152,199,2.0,36602.1,0.137
68,36,271,438,7.0,36071.73,0.135
69,58,569,703,5.62,35897.17,0.1344
70,20,495,533,1.62,35534.28,0.133
71,12,221,281,2.54,35516.1,0.133
72,54,885,942,2.42,35220.81,0.1319
73,42,1360,1447,3.67,35112.9,0.1315
74,12,8368,8445,3.25,34962.77,0.1309
75,45,231,257,1.12,34779.61,0.1302
76,52,990,1160,7.12,33855.87,0.1267
77,48,8239,8311,3.04,33246.11,0.1245
78,15,8427,8503,3.21,32955.83,0.1234
