wind anom Nordics_N,pv anom Nordics_N,heat anom Nordics_N,wind anom Baltics,pv anom Baltics,heat anom Baltics,wind anom Nordics_S,pv anom Nordics_S,heat anom Nordics_S,wind anom British_Isles,pv anom British_Isles,heat anom British_Isles,wind anom NW_Continent,pv anom NW_Continent,heat anom NW_Continent,wind anom Med_East_N,pv anom Med_East_N,heat anom Med_East_N,wind anom Med_East_S,pv anom Med_East_S,heat anom Med_East_S,wind anom Greece,pv anom Greece,heat anom Greece,wind anom Italy,pv anom Italy,heat anom Italy,wind anom Iberia,pv anom Iberia,heat anom Iberia,wind anom Central_W,pv anom Central_W,heat anom Central_W,wind anom East_N,pv anom East_N,heat anom East_N,wind anom Central_E,pv anom Central_E,heat anom Central_E,sc,t_start,t_end
-7.300508876308677,10.561174642834608,25.983012604634336,-44.568472280255904,6.1724797442695225,50.255599598270386,-44.4498592157623,51.34395355383774,49.1350193323533,-12.098532913951722,71.6555294787102,56.84260975808614,-62.68227164907225,85.44793423759066,94.39351808289238,5.5928708979107915,12.425243407943407,55.02739902823417,8.038700342318906,26.55893752231452,102.30068876058564,14.544951295854283,-40.66106858147342,93.4116925852058,31.466728001715683,-33.997404319318704,153.1711201370303,-13.27946786874627,-0.8551350131311295,44.559152948012596,-32.855547729176166,46.15892905561841,85.44436785922947,-50.26794075301174,86.35830653760836,62.017314051362746,-13.839070535372722,48.392793347169054,76.7431712522686,3,88,416
-31.460452449221226,50.92633761063771,64.73476998775433,-41.44879556299314,47.21494309993903,121.53024490658491,-33.76128412017769,12.735670675052507,57.125232412940086,-42.20839279711585,63.68263207016312,61.351219295301185,-53.40197055715228,9.69304901524205,86.90227992510997,39.47204564852919,-17.633354238057343,2.6262862007076766,19.135916438011225,-32.146543326002494,11.256358523884238,24.190805386332805,-6.700588162987617,-52.412342829914316,52.184856501428555,-6.652847840574408,25.04208618061061,54.93239445916228,-15.562457419214622,49.44536131417688,-29.975061370828122,-6.736082349458765,70.81677031845531,-27.31736157721436,35.46124070569765,84.50945083066948,-32.002428838546955,-28.639244329939125,33.60826626739733,44,41,391
-10.908198521374322,65.38076657782509,71.76889979280091,-0.33622408628630446,-25.830815523758393,89.4183593076443,-9.325356751352535,27.185024551005466,85.41268102119403,-44.209050020277004,-5.872299062395868,30.67192763873163,-50.58982183177784,3.8059724386937903,91.07933133300502,35.5530669090038,-24.27140218287015,67.66983044240249,64.54725053943346,-2.076107107911823,97.08788982167869,55.10338920682338,-28.68932881099564,103.68499806754197,58.402973412392846,-24.614209654149665,169.3878878792305,18.40751836254568,28.12581809489099,163.8182558317275,-25.025595639155373,8.406660639970202,98.67707066852509,-49.38838896214953,26.93396674234082,76.9712357284121,11.96119579743677,15.806752294674748,79.40072063829562,45,8047,8193
-35.11937338883012,79.56737000853235,64.19378063339039,-41.942290944706535,28.224527376801174,117.97308928375712,-29.366707661636937,-44.76151380258589,66.8348547985313,-1.15929746277978,-9.57000081983405,27.0527259469226,-38.554212238677735,22.326950963134568,96.78899022045997,52.552309346860206,-12.812100916481478,30.447133325932757,-17.607548522109955,-41.9761135906681,59.11227691301719,38.79841786213017,-4.675827599424052,-37.275434606575935,-11.986521466504808,-4.288930591906814,10.474327588158385,35.1052280573666,-22.291146429824803,34.59725397538712,-43.55098629100028,-17.795801425719652,37.978990880985194,-36.61812541703646,28.934051552441137,103.66783575061508,-7.949493229408746,-29.7460425282812,79.36311765056155,13,8104,8288
-28.35280183884673,29.848567380251634,33.46853833263921,-54.81587725948266,16.38241494023293,46.650452989115834,-35.06708863532239,27.127788516707223,53.800542109263375,-7.6128562456440285,-4.267852051260714,25.706342870817732,-28.02131105527061,4.546119898674732,56.279849104778926,13.565806477071973,-18.07261725605327,48.540608338326706,-15.164849612977918,-28.61288303681539,52.20219551397245,13.69217248319334,-10.769704055135398,21.522463301494337,36.37390647803797,-6.615704546406437,57.836701712448445,21.249206301469854,-9.386449636310857,-11.831981348625577,-18.63462295703024,-7.860857032912512,22.847197018502193,-55.50383055987754,11.91363747302106,61.80912077332666,-40.98638323210842,-23.776484594538,57.91446695226734,24,544,799
8.915885050176641,8.898558349615495,8.033451269423564,-47.91340556596109,-37.37865480612826,32.711978810335204,-45.16251954843919,-11.4916910049697,53.75253902886561,-13.807063021113272,-30.051231192683613,36.848851410597646,-46.89528262360979,80.00834596738535,109.22446000698713,-40.39268847350566,-11.960133691082907,54.914006925393565,12.649565358468843,-30.504264398910973,87.91603636731618,12.016108122182727,1.0790969995619393,53.86166621151207,24.48003352228605,-42.83613111773699,106.23151495137147,-76.69345681422936,18.516822375820922,128.65940551362812,-47.14536181228096,26.90404637731916,91.11044088399235,-69.517327848525,-7.273622874737103,85.1095816447342,-86.07602109864119,10.925785730024437,82.0504595501199,11,8382,8503
25.916380834316964,1.4090323658945472,-6.840380816925992,-5.5176936061245785,35.70977468427768,3.54187904761466,-57.87827793817485,26.38320161017853,33.33295434928839,-29.46494079345918,-9.163631827119728,26.627946055471053,-83.87048975900917,71.88451730576757,53.01026516675046,-48.2572435158607,50.36263216237609,35.49632036199733,-72.57506250215795,44.45984148270468,50.31370870731009,12.1057758773749,-6.401545254476064,88.38206937664683,-4.7679094445611785,-29.366289936561614,34.24524058573397,-2.857331327948658,-8.138983034020471,-28.9341393453822,-49.79382094095659,1.7886953514811597,9.922286650589035,-59.44580613695499,105.33553206001751,35.40006207656089,-76.16083980087109,74.41776338262885,42.67431480955786,49,90,320
36.04348859200179,14.162678227189417,-2.4328236171191557,2.2902533547694124,38.281932454437715,8.870418455792613,-0.5581709263940378,11.009321438442011,17.251033751458504,-18.83273016648597,-27.033408362183675,20.683205661876876,-42.02373296429399,-21.279824031825125,35.68765307021231,-25.59222600337997,9.161927171723766,30.623043071448265,-18.05283724492024,-7.016905719800187,49.10734031580421,-3.3010398076510192,-26.282141177709086,63.461331234125005,14.42388895694942,-30.31977090716885,70.7744578326128,-48.00314363673243,21.18658518497322,86.45692095957523,-50.89714963379429,6.695802139119825,50.90999865077956,-23.94151810938349,12.590617063397435,18.497151425742206,-39.05385580487978,3.6550925923804565,31.872001725642036,35,0,247
31.06062260458448,18.169006013446907,-0.24729040822378573,23.23772505333564,73.42433019753254,23.054634724579763,-24.356424946066507,87.31123352070885,28.69691818737865,-19.75564001692735,55.37515716876551,40.44554184437296,-71.66300464241489,123.31738185156551,57.6300899970174,29.546605842078904,-53.51914902228242,26.375701943635015,66.81618773400433,-16.99831938945842,56.86287966191493,3.8157577031044694,-39.18674274389106,8.700540292202398,37.480675908348374,-22.54816327146584,107.78365895090747,-9.557935384626305,24.27124446344754,96.48814080250276,-62.799413869295805,71.1215005695428,71.38994983390793,-39.37550740488388,106.79475589631441,35.785365839629456,-26.57564900631871,24.11771488949955,42.317679343662306,41,328,488
6.506070517612765,2.292902974384568,-5.901743795641208,-23.163813787448976,20.547719554836195,-6.039487980878706,-60.70657712638143,19.955961301447296,30.116165434587227,-38.149744967453145,-34.754377859557586,43.2891070655877,-58.740016726670916,23.11280396304561,65.32836544572446,-37.75424217127553,-21.68433354954907,18.707422859766982,-17.649484657320894,-32.256774538984644,50.165441086338994,-14.32841720475877,2.073850012376868,-3.373103288208304,-11.683029028655271,-16.573884067683238,38.98581209313705,-18.525420178813302,-11.22005221554862,24.861347126375925,-40.74204643482558,10.710159127259134,43.13935045006073,-58.07214140324296,-17.928988058270193,28.77274480025881,-63.54734994968814,-10.294318966760699,45.125801328366634,9,149,401
