wind anom AT,wind anom BE,wind anom BG,wind anom CH,wind anom CZ,wind anom DE,wind anom DK,wind anom EE,wind anom EL,wind anom ES,wind anom FI,wind anom FR,wind anom HR,wind anom HU,wind anom IE,wind anom IT,wind anom LT,wind anom LV,wind anom NL,wind anom NO,wind anom PL,wind anom PT,wind anom RO,wind anom SE,wind anom SI,wind anom SK,wind anom UK,pv anom AT,pv anom BE,pv anom BG,pv anom CH,pv anom CZ,pv anom DE,pv anom DK,pv anom EE,pv anom EL,pv anom ES,pv anom FI,pv anom FR,pv anom HR,pv anom HU,pv anom IE,pv anom IT,pv anom LT,pv anom LV,pv anom NL,pv anom NO,pv anom PL,pv anom PT,pv anom RO,pv anom SE,pv anom SI,pv anom SK,pv anom UK,heat anom AT,heat anom BE,heat anom BG,heat anom CH,heat anom CZ,heat anom DE,heat anom DK,heat anom EE,heat anom EL,heat anom ES,heat anom FI,heat anom FR,heat anom HR,heat anom HU,heat anom IE,heat anom IT,heat anom LT,heat anom LV,heat anom NL,heat anom NO,heat anom PL,heat anom PT,heat anom RO,heat anom SE,heat anom SI,heat anom SK,heat anom UK,sc,t_start,t_end
-10.61519947080281,-55.92607448740649,-6.575503421265759,-61.45129332988554,-33.56745038135035,-66.83248233276437,-48.334514369944685,-39.51639530171463,14.544951295854283,-16.760363184662523,-23.332795793024328,-23.80322380106445,11.062376734312783,12.405989342487809,-6.7329368156163945,31.466728001715683,-48.674793033457966,-50.46015833027172,-65.5470916085405,5.427653374965835,-51.78822043637113,-9.587186838951117,16.74803060286054,-38.358815467102026,2.808055701665501,-14.719331890404256,-17.420391612066204,44.30015955137282,87.55704966371812,10.720865294534075,63.875786129918744,59.471838018921794,78.55688519541782,70.88062274768932,-11.129170874644554,-40.66106858147342,-5.6086576930632,30.011165381730954,25.438455134463783,10.512445212012873,31.681678395805562,45.496027253844865,-33.997404319318704,95.03681461024884,21.307577258565026,91.7873880311588,-3.4436354863492724,81.39403728841181,4.976547800694407,14.481819611770666,23.17011091830392,43.3727452469565,63.560340111390964,95.83490442862562,95.44316863705455,91.95013484435589,64.59634816160134,78.77315133864833,65.9759314653023,93.09756811897739,53.554785716238044,41.67739878651944,93.4116925852058,49.19031530012219,35.851820646810104,86.8112990011727,103.90654147224778,72.39998240753302,34.85130360882959,153.1711201370303,69.53680331936775,53.86957633143279,101.69871132473712,19.96096679325113,60.51862665737301,-0.49585564958310624,54.03990081040023,41.44293464319819,97.17635500991058,73.151737872958,58.715869435959114,3,88,416
-36.40256929534515,-53.06887800245338,45.96211502341556,-55.921688056211934,-48.654391327777496,-51.13471070130572,-28.517426115577116,-45.09191235944504,24.190805386332805,45.187723635242435,-40.33028141645919,-21.875007263167294,36.266102067524805,-7.748716247328483,-43.130988749841364,52.184856501428555,-26.31345686167455,-37.188169959869974,-55.509751295349716,-24.41146090468302,-28.27838088999939,65.30724117944425,33.49250023357876,-41.933630129723525,-10.705434363333074,-28.44012038999234,-41.2923602507958,-25.914822163621675,31.34380305177101,-19.024888324810675,-2.1136593237490926,-25.766412035444418,-10.838883390752708,11.51908512666315,31.35046334852534,-6.700588162987617,-13.312878576222333,61.380128404125664,-12.127080348334436,-30.0868860711721,-30.234167741535455,86.91913098862035,-6.652847840574408,87.21202810804644,60.97528411150406,10.949036835454617,43.391847684425265,5.615447240991836,-18.34687641386138,-15.95058774794514,14.484539707265586,-34.32369686085829,-33.44176644266143,42.605710915220534,50.93828288258603,96.49582028319944,-20.826808193082275,46.25773458568611,51.4168004754946,80.42347819172527,61.585298840346695,102.11871725780716,-52.412342829914316,47.13573316795496,88.8240610280827,75.83898973352639,8.61960724373042,17.689451684313404,61.61942719442305,25.04208618061061,150.67931468596078,129.7004201153291,108.06394178703191,50.03411221899293,71.39168230423152,71.81555193269705,5.0442010787538,49.358395943581854,19.662819604620445,35.05859101681728,61.328380047705636,44,41,391
16.40626594992686,-58.40034031734562,59.73165222272099,-16.149944357439637,-3.6571278788539545,-43.87677131787465,-11.627660246387414,13.094526357352462,55.10338920682338,22.845678185956604,-9.731097133835547,-27.67858200302051,61.856518307891584,31.281198750910566,-44.685265437102665,58.402973412392846,-58.644462407541944,-16.980986699977002,-48.81119841360094,-11.82091306506798,-40.792792511107926,12.74398988238078,12.997507966919821,-5.5922787564832594,70.12154579157546,9.071821890936649,-43.742304942832774,-14.09766551967849,6.134671969399655,-27.84327755830548,-2.0097920070942457,18.546841122863878,-2.0316607460545133,25.542260497857544,-24.939145280041217,-28.68932881099564,18.7141235469066,55.02911079601791,19.131549150764094,-15.85955347947738,18.738219867216173,-12.419799810425285,-24.614209654149665,20.91820329308801,-26.5970676467631,9.785354394905333,73.2465577268232,31.859622459519905,39.000124199422565,-19.531509227854375,29.293051995484493,12.196309022909183,47.473078556165,-0.06591078514311498,98.46412160717752,70.3660500941745,85.5472377832568,88.34984677278554,69.74558574726393,92.95521482896288,91.81230706129502,71.82538112759987,103.68499806754197,172.2711537727492,80.50781869770995,100.95674502274534,100.93366743862502,74.01917941772443,0.05099083241715354,169.3878878792305,126.96395075539459,96.86215754985206,97.80071993897734,66.51221081988298,67.25153057083382,78.22076060236677,65.9824455551549,74.30074232711561,85.29444930419675,80.02045724274892,33.33935897348695,45,8047,8193
-29.247848651241004,-32.238738112366846,63.47096716170736,-81.37138423823205,-33.22065506817518,-51.4642773345751,-20.154555610226748,-40.802138344651596,38.79841786213017,15.98150801664581,-40.22193968758248,-31.426443429564088,-6.937025011202868,16.091121489963015,3.851830830195086,-11.986521466504808,-38.566180718802634,-43.34174091114044,-34.07346139226719,-31.16817550393644,-34.874240558764996,58.627131612221106,42.421549446529745,-44.63085614426208,-39.01675754185595,18.3296110495322,-6.083739119624713,-49.29963329149704,48.3524966268399,-13.750077894314671,-29.038303732079683,-22.223254703239338,-19.066799289632847,-63.55124442309935,35.86328072990016,-4.675827599424052,-17.51373771815376,101.679255783153,-6.411504429574146,-42.05870245209461,-34.14014278482453,14.220562297754578,-4.288930591906814,49.89447202129983,21.47178373047989,55.66110209412538,63.70202214753148,11.386909131527661,-27.794194051487125,-11.561659672020602,-21.410073253846313,-41.89174954732332,-6.1841726017746,-31.242737822681782,80.68698170014646,101.77548311049304,5.3181524160664,10.026696332829898,81.59512777087919,86.96509830304929,73.37582198919448,89.00871674456225,-37.275434606575935,36.34764292734036,81.8073808159209,44.08498432427357,61.55141708815716,75.73120471406213,15.72390875702985,10.474327588158385,154.57236652286167,130.3949043467432,142.3388810236652,53.56830233165676,93.73288090960634,16.762840947207593,32.85617180399445,55.644731543854455,51.60889373526844,93.02449994793491,28.034593004286307,13,8104,8288
-44.90535636950484,-33.549650740131526,13.640594248033116,-43.212286001293634,-52.42504717824965,-30.439434670660503,-21.616173371438087,-49.16827125357523,13.69217248319334,23.19247790728979,-43.13948783807606,-11.083811022630272,-0.09823449491472931,-22.879602873293948,-13.725091598723068,36.37390647803797,-60.2116887260157,-61.405649827416454,-21.124710414742406,-16.72270224813558,-50.98720686446525,19.09522283400336,13.49874394271174,-56.507223122325,-39.21867126919465,-39.38589914082546,-1.6832468361552018,-12.328359665060717,2.798708269687656,-18.143868062221475,-2.5734931030068626,-21.873403655859054,-11.265316490287018,44.35742482747631,8.372751945128037,-10.769704055135398,-3.20087987204649,-2.1112518708561385,-13.629695502800368,-32.612666599976556,-28.05838370085403,-2.9842667695589262,-6.615704546406437,33.15105385102832,24.058197941085844,28.08606453640027,54.79596638798019,-4.099713482145227,-16.412846975874714,-17.989064661337643,8.296393126188248,-24.471242179960626,-37.618387900371445,-5.5285843370957135,60.73726366997691,39.885587191116066,33.941849447958376,32.45632185704545,48.352035522384824,57.49673409834174,61.1553362335072,27.709781185641386,21.522463301494337,-11.410224431931299,22.694140600870494,20.90009365863836,53.9623223482247,59.637480432425285,15.936974498803655,57.836701712448445,68.87133663997089,54.683599265886095,62.539304659910876,40.127355445891546,60.37352847669869,-15.842685306939078,49.999628767460116,41.008598092993594,46.58516296949248,63.677244205026916,26.546838295462855,24,544,799
-89.05690297822319,-44.64162843722617,-27.932411321452307,-73.98815000230373,-81.22533722949412,-53.709845692470346,-49.52232207956962,-44.40352890794294,12.016108122182727,-68.24366031632586,-2.864189501860687,-39.43801167939532,25.83919380591113,-82.53508115063583,-4.789149906612275,24.48003352228605,-69.55392317575077,-52.138571145994405,-43.60105050398572,17.97050092159714,-69.48233185605213,-85.94894980964717,-51.54804691963171,-38.08975549891508,-12.308398680856355,-91.96898413638392,-22.729596898132538,-12.914543547943186,97.2228602367471,-10.971828914506805,41.5581426107296,30.83271990138553,79.99402915616722,-6.348519501080071,-41.451255384924366,1.0790969995619393,6.916154881922121,-32.09326086614537,11.483843772719226,-24.27676033001204,20.647704535290465,-52.32174644080894,-42.83613111773699,-40.7056809827201,-33.6837360614179,61.033897776728494,37.343122626602145,17.250029105176615,32.14754694345262,-13.298757119492594,-17.959393086573485,-37.14015482379102,11.627092114512612,-10.254256555361808,97.86612481593724,120.5559248376111,74.14536449601678,49.26086557563152,85.97719024934456,100.14050810575736,66.70721366966573,13.64374147001761,53.86166621151207,128.23270215713603,2.3818116405572494,99.87945221090341,88.19518945186432,71.2539949392888,3.8907885873279895,106.23151495137147,69.71637456971628,41.00701767774302,143.69867207821704,11.558640401096268,88.09845004358111,132.7391676737701,53.01269258531526,31.78844677768477,87.03943260194752,93.05812082142353,39.69287483640302,11,8382,8503
-77.94074582259655,-83.38247634679944,-44.53187275000683,-82.95322853034052,-69.52339841606496,-83.9941941777639,-76.4204643393671,2.7517143102059847,12.1057758773749,-20.67812315161527,32.27476139860513,-39.36892853348469,-64.12262101856699,-82.49307717656158,-27.157287101937232,-4.7679094445611785,-48.13366813905276,-15.154028947242349,-84.21738190305227,20.861653231025336,-70.37797776529099,15.854633729928613,-51.666237913068734,-28.96687807667621,-87.0880041613299,-77.1570944839773,-31.75801624192665,42.58799825535959,67.03266063457527,46.170580488221745,15.97960624882901,107.6655321735186,103.56991220445211,37.02310040623101,33.39917661692154,-6.401545254476064,-5.757176321652503,24.685156253819684,-14.504351869199947,47.797167024177085,69.87393229707284,-23.732407274792322,-29.366289936561614,88.28352629622657,37.694833186385054,37.85793229562556,-15.405770428834195,115.26875498221558,-11.080833322238925,55.407088778602855,10.763788724788249,40.9544513609354,93.87852238807814,3.935525323620069,44.28774942019341,60.88168672738134,52.69665294931709,4.261666113314841,37.11727321798314,43.652035129424675,41.92790226842486,-4.343342601163025,88.38206937664683,-32.19591106069778,-4.917767305798678,11.083397115887479,50.68693549685166,43.61878575262439,-9.423053366506993,34.24524058573397,29.983373781595102,6.865956908742128,87.91854203143119,-8.014014885453864,36.47939856055029,2.7623591571494193,33.73290943085707,18.412815775328088,49.12520272084419,45.84327003954022,29.71064226723253,49,90,320
-39.570216470728035,-51.842155055117814,-26.72144741446098,-79.88088940868597,-39.86182682533111,-35.91859542269449,-9.821717668713164,8.348425469969246,-3.3010398076510192,-43.33806740989706,43.36053448651064,-41.94014768047079,-3.789114610860604,-42.77552525403464,-21.589928827324957,14.42388895694942,-24.29693456285277,-4.719617556033633,-38.143383382028546,30.33224187381019,-23.59630172788159,-53.087421337550985,-24.55682037890503,13.83525850410818,-42.60595750386714,-34.742160884106596,-16.118597985065687,-20.83084770267383,-16.736948998065984,-3.4209265101736,8.967155186816143,-8.203350252263972,-9.08274100271515,6.817634620259145,44.162153817932065,-26.282141177709086,6.849094151245992,59.95832606269119,4.046319318863937,1.7629883713216676,38.81092707421151,-12.235099168740332,-30.31977090716885,25.193547424402073,33.53655558836552,-42.70514492371358,-18.368806525204388,4.774169535463126,38.76098670401277,24.386904951845615,17.147144878250643,-16.602475468962187,6.241791789623603,-39.83778599344611,40.75041258226755,35.81130006706362,44.37866031459073,39.117140241696646,23.1162314401908,35.474018250996984,20.19605348266669,8.006702654174074,63.461331234125005,88.8237385104563,5.093804121761032,53.325504578784496,51.82574042270184,31.687249725878452,7.324184031966001,70.7744578326128,12.424327874036917,9.232563569408963,36.541958288941444,-7.021379787435657,19.682690028498357,63.590987047037636,29.206110131371755,12.143728813811034,40.4389070892637,27.157521504627745,21.821316560944513,35,0,247
-22.853625148383845,-71.64353151347908,43.08381870822937,-72.7940914148233,-42.53904777082551,-71.15284374720297,-44.49052864568618,29.742972242455828,3.8157577031044694,-33.20231013842033,46.86657616006592,-59.50227398157962,60.8818350216992,-9.785786181322973,-22.448024081881083,37.480675908348374,-25.511084653491473,15.632493471568063,-72.09293996430168,18.638450518191423,-52.16690955797014,16.257173869220118,17.161905041361567,8.138690790917776,77.09244366311408,-23.851503099873796,-17.057242946269113,29.15811842548588,145.9338667897224,-55.25804072589345,80.54381802644342,71.64681509879824,113.43551615817829,97.8993847087587,60.96650674993695,-39.18674274389106,3.5831894429349456,47.516370036912235,59.91678626921948,-18.46597741870811,-20.470776407120024,5.888191816467744,-22.54816327146584,116.63539451743281,84.9410773924844,113.28333154844898,-2.916471257014423,101.2093471580543,49.46913488012216,-51.41427101227948,73.43464162480636,-15.501614788656426,25.300854584297277,105.66981035344698,57.90869076258037,68.96914470802139,29.205313264875915,51.27177764838579,37.186732742739714,53.504133685257486,33.73864918303982,14.54810255341816,8.700540292202398,99.75611639933003,8.353794835843818,75.56498805261356,58.44101429325475,36.7712602520094,2.0384925790753323,107.78365895090747,36.535918571940165,26.634878552668013,67.19371985742734,-5.489931108705958,35.63536958364088,65.09597075090193,26.08188825912811,19.944604604256458,51.833160351059036,42.24455980886486,43.69782624075411,41,328,488
-63.36957773042074,-47.98246092173466,-41.984266871937834,-65.345694164807,-70.88869044064661,-76.80587673331733,-80.41086179911011,-16.746439175804458,-14.32841720475877,-22.103429426952527,10.46124548989923,-32.97055071128439,-15.34860807898798,-55.749792201794,-27.699177435915228,-11.683029028655271,-49.22100539928043,-30.622385442033785,-54.084534717180354,3.3495043244398026,-66.56767110746104,-14.7780466453903,-33.886526189053,-29.96782566403421,-21.656877833636454,-61.46862398523394,-48.52700422524233,3.6370256936565926,22.91544542315686,-22.155297114587444,16.916881197012408,-0.6984387820770505,26.939877992472656,19.647937433658548,40.21407656931116,2.073850012376868,-14.882582492399779,11.815911292132272,3.45885933343522,-32.22517145105229,-33.18163990020014,-35.561045118957665,-16.573884067683238,-34.5012916518745,3.2059056171865628,18.55366305034534,-4.608672675328193,-8.458761317857597,-6.750609230310656,-21.11848382933486,20.40256695518551,-32.28971597709989,-13.68264993260887,-34.00364602090989,50.54739415224041,84.02888222711827,14.863839360354996,17.18631449430389,44.78862067382614,55.66755520405875,37.018713788387394,-7.0872219115360515,-3.373103288208304,26.087770350161133,-12.58722117051126,48.45441197752939,50.6425668132133,42.09627886434157,44.687242680919894,38.98581209313705,0.24218911552896802,-5.597334315826821,93.29477988875013,-1.8064065095054342,34.51328126673438,12.978883520747697,19.104293365218343,18.11519242648441,48.64268643415486,48.34546412147833,43.169995059498554,9,149,401
