rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,3,167,330,6.83,103442.67,0.5136
2,45,8071,8191,5.04,86864.15,0.4313
3,11,8415,8455,1.71,64968.13,0.3226
4,44,247,311,2.71,63017.85,0.3129
5,47,306,367,2.58,57516.15,0.2856
6,27,160,247,3.67,57127.62,0.2837
7,22,159,223,2.71,55655.59,0.2764
8,25,870,943,3.08,54330.21,0.2698
9,42,880,967,3.67,53352.64,0.2649
10,13,8223,8263,1.71,52665.47,0.2615
11,41,415,439,1.04,52077.83,0.2586
12,24,640,703,2.67,50051.85,0.2485
13,30,1303,1350,2.0,48909.86,0.2429
14,55,8439,8479,1.71,48300.78,0.2398
15,49,231,271,1.71,47347.1,0.2351
16,52,583,655,3.04,43061.64,0.2138
17,31,823,847,1.04,42312.73,0.2101
18,29,88,103,0.67,38855.59,0.1929
19,18,255,295,1.71,37716.46,0.1873
20,57,87,127,1.71,36441.26,0.1809
21,53,7935,7951,0.71,33332.13,0.1655
22,19,8201,8239,1.62,33197.62,0.1648
23,1,735,751,0.71,31490.37,0.1564
24,46,655,689,1.46,31265.11,0.1552
25,35,175,223,2.04,30845.37,0.1532
26,23,8439,8455,0.71,30811.65,0.153
27,15,810,847,1.58,28337.4,0.1407
28,8,8199,8215,0.71,27836.55,0.1382
29,38,175,223,2.04,27698.16,0.1375
30,33,8559,8575,0.71,27031.55,0.1342
31,7,8729,8743,0.62,26841.04,0.1333
32,34,833,871,1.62,26601.0,0.1321
33,60,880,895,0.67,26441.43,0.1313
34,48,7959,7976,0.75,25622.31,0.1272
35,10,1048,1063,0.67,25147.89,0.1249
36,6,8368,8383,0.67,25070.83,0.1245
37,1,8407,8455,2.04,24164.45,0.12
38,20,64,74,0.46,23814.45,0.1182
39,51,247,265,0.79,23293.28,0.1157
40,17,399,410,0.5,22544.01,0.1119
41,9,223,247,1.04,21585.45,0.1072
42,34,463,511,2.04,21424.0,0.1064
43,2,43,56,0.58,21086.0,0.1047
44,34,375,385,0.46,20738.33,0.103
45,5,928,938,0.46,20165.57,0.1001
46,54,7960,7976,0.71,20071.08,0.0997
47,7,8056,8071,0.67,19381.04,0.0962
48,36,7720,7735,0.67,19373.65,0.0962
49,32,8296,8311,0.67,19150.85,0.0951
50,38,905,919,0.62,18358.91,0.0912
51,39,281,295,0.62,17795.01,0.0884
52,53,8503,8527,1.04,16711.95,0.083
53,5,559,583,1.04,16575.43,0.0823
54,29,8359,8407,2.04,16528.78,0.0821
55,44,8455,8479,1.04,15191.52,0.0754
56,26,319,330,0.5,15047.07,0.0747
57,43,55,103,2.04,14853.49,0.0738
58,56,751,775,1.04,14042.34,0.0697
59,33,8335,8358,1.0,13073.11,0.0649
60,40,1039,1063,1.04,12763.08,0.0634
61,30,8503,8527,1.04,12621.8,0.0627
62,8,0,31,1.33,12156.72,0.0604
63,15,64,72,0.38,12068.0,0.0599
64,40,687,693,0.29,12067.48,0.0599
65,13,8119,8143,1.04,11901.75,0.0591
66,31,655,679,1.04,10526.63,0.0523
67,46,1169,1174,0.25,9379.47,0.0466
68,58,510,513,0.17,8889.49,0.0441
69,44,151,161,0.46,8835.7,0.0439
70,23,847,857,0.46,8289.78,0.0412
71,37,559,583,1.04,8204.51,0.0407
72,5,4911,4934,1.0,7654.97,0.038
73,8,4359,4406,2.0,7617.66,0.0378
74,60,4911,4958,2.0,7525.58,0.0374
75,21,8575,8599,1.04,7267.55,0.0361
76,11,55,55,0.04,7227.92,0.0359
77,27,7,31,1.04,7202.99,0.0358
78,25,4934,4959,1.08,7015.25,0.0348
79,30,4430,4455,1.08,6748.95,0.0335
80,28,4934,4959,1.08,6677.24,0.0332
81,60,8191,8191,0.04,6599.82,0.0328
82,42,4598,4622,1.04,6557.25,0.0326
83,18,8743,8743,0.04,6424.73,0.0319
84,50,1133,1135,0.12,6317.91,0.0314
85,22,5102,5103,0.08,6186.81,0.0307
86,55,4382,4429,2.0,6154.51,0.0306
87,53,4911,4934,1.0,5714.68,0.0284
88,32,8647,8657,0.46,5672.96,0.0282
89,57,439,439,0.04,5419.96,0.0269
90,4,5750,5774,1.04,5346.19,0.0265
91,33,5774,5775,0.08,5227.83,0.026
92,19,7,7,0.04,5031.18,0.025
93,38,5101,5103,0.12,4855.47,0.0241
94,22,798,799,0.08,4713.7,0.0234
95,43,5126,5126,0.04,4615.7,0.0229
96,51,943,943,0.04,4585.66,0.0228
97,54,8167,8167,0.04,4479.55,0.0222
98,10,223,223,0.04,4406.79,0.0219
99,44,5726,5749,1.0,4352.44,0.0216
100,12,655,655,0.04,4050.81,0.0201
101,6,7,31,1.04,3980.57,0.0198
102,32,79,79,0.04,3791.26,0.0188
103,16,8575,8575,0.04,3702.65,0.0184
104,11,4959,4959,0.04,3506.51,0.0174
105,33,6,7,0.08,3451.71,0.0171
106,20,151,151,0.04,3414.03,0.017
107,58,751,751,0.04,3317.77,0.0165
108,58,367,367,0.04,3294.0,0.0164
109,42,8623,8623,0.04,3236.17,0.0161
110,1,8047,8047,0.04,3091.03,0.0153
111,51,391,391,0.04,3029.3,0.015
112,9,8647,8647,0.04,3018.97,0.015
113,58,5798,5798,0.04,2862.03,0.0142
114,41,7,7,0.04,2855.2,0.0142
115,41,4959,4959,0.04,2773.09,0.0138
116,31,5271,5271,0.04,2762.4,0.0137
117,21,5053,5053,0.04,2742.65,0.0136
118,37,4933,4933,0.04,2657.73,0.0132
119,57,631,631,0.04,2657.33,0.0132
120,59,4430,4430,0.04,2657.28,0.0132
121,26,4958,4958,0.04,2657.26,0.0132
122,19,4382,4382,0.04,2656.46,0.0132
123,51,4549,4549,0.04,2654.48,0.0132
124,56,4262,4262,0.04,2652.62,0.0132
125,54,4429,4429,0.04,2652.3,0.0132
126,15,4934,4934,0.04,2650.84,0.0132
127,17,4934,4934,0.04,2649.36,0.0132
128,32,4934,4934,0.04,2645.45,0.0131
129,6,4430,4430,0.04,2644.74,0.0131
130,27,4622,4622,0.04,2644.41,0.0131
131,39,4934,4934,0.04,2644.05,0.0131
132,14,4550,4550,0.04,2640.42,0.0131
133,35,5917,5917,0.04,2640.38,0.0131
134,45,5102,5102,0.04,2640.03,0.0131
135,3,4910,4910,0.04,2639.99,0.0131
136,23,4886,4886,0.04,2637.29,0.0131
137,31,5750,5750,0.04,2636.92,0.0131
138,44,4887,4887,0.04,2633.25,0.0131
139,34,3901,3901,0.04,2632.9,0.0131
140,12,4959,4959,0.04,2625.9,0.013
141,51,4286,4286,0.04,2624.91,0.013
142,19,5103,5103,0.04,2624.91,0.013
143,50,4911,4911,0.04,2624.68,0.013
144,56,5271,5271,0.04,2623.61,0.013
145,36,5271,5271,0.04,2622.97,0.013
146,39,4551,4551,0.04,2621.67,0.013
147,24,5895,5895,0.04,2621.32,0.013
148,16,4527,4527,0.04,2621.23,0.013
149,17,5895,5895,0.04,2620.79,0.013
150,20,5271,5271,0.04,2620.18,0.013
151,40,4431,4431,0.04,2618.09,0.013
152,55,4623,4623,0.04,2617.98,0.013
153,45,5799,5799,0.04,2617.96,0.013
154,13,4455,4455,0.04,2617.75,0.013
155,14,5271,5271,0.04,2617.52,0.013
156,15,4623,4623,0.04,2616.81,0.013
157,48,4623,4623,0.04,2616.76,0.013
158,27,5127,5127,0.04,2616.68,0.013
