rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
306,37,4911,4933,0.96,4225.89,0.021
307,53,1600,1663,2.67,4209.14,0.0209
308,24,5895,5943,2.04,4201.62,0.0209
309,17,5869,5895,1.12,4198.61,0.0208
310,44,7768,7826,2.46,4185.81,0.0208
311,13,4429,4455,1.12,4181.5,0.0208
312,14,4527,4550,1.0,4131.15,0.0205
313,60,5702,5797,4.0,4102.74,0.0204
314,19,7984,8048,2.71,4007.51,0.0199
315,5,1159,1220,2.58,3969.65,0.0197
316,1,5774,5799,1.08,3953.85,0.0196
317,57,6207,6252,1.92,3952.57,0.0196
318,4,8392,8455,2.67,3910.73,0.0194
319,59,7792,7825,1.42,3887.01,0.0193
320,31,8081,8144,2.67,3886.9,0.0193
321,25,501,559,2.46,3844.16,0.0191
322,28,3877,3975,4.12,3830.44,0.019
323,37,5894,5964,2.96,3815.3,0.0189
324,9,4934,4948,0.62,3753.31,0.0186
325,35,655,714,2.5,3733.67,0.0185
326,28,8071,8129,2.46,3712.31,0.0184
327,40,1374,1433,2.5,3710.62,0.0184
328,34,1289,1351,2.62,3694.67,0.0183
329,32,3948,4023,3.17,3682.3,0.0183
330,39,981,992,0.5,3680.03,0.0183
331,39,490,535,1.92,3676.65,0.0183
332,9,2059,2114,2.33,3620.99,0.018
333,2,5917,5942,1.08,3619.17,0.018
334,25,4238,4261,1.0,3612.78,0.0179
335,15,391,441,2.12,3585.12,0.0178
336,20,8143,8191,2.04,3582.92,0.0178
337,30,4190,4235,1.92,3547.48,0.0176
338,21,1121,1135,0.62,3540.12,0.0176
339,43,5702,5749,2.0,3521.24,0.0175
340,11,4959,4959,0.04,3506.51,0.0174
341,5,8072,8120,2.04,3482.31,0.0173
342,14,390,429,1.67,3470.44,0.0172
343,12,4936,4959,1.0,3441.85,0.0171
344,41,8705,8754,2.08,3435.83,0.0171
345,59,832,867,1.5,3425.3,0.017
346,59,509,522,0.58,3421.03,0.017
347,41,7567,7617,2.12,3416.07,0.017
348,58,5798,5799,0.08,3405.07,0.0169
349,16,5079,5126,2.0,3388.73,0.0168
350,21,905,960,2.33,3326.42,0.0165
351,14,4190,4237,2.0,3313.89,0.0165
352,13,4260,4285,1.08,3249.12,0.0161
353,22,520,559,1.67,3242.49,0.0161
