rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
378,5,5533,5556,1.0,874.98,0.0033
379,49,4933,4933,0.04,869.93,0.0033
380,41,5631,5631,0.04,866.65,0.0032
381,60,5319,5319,0.04,862.58,0.0032
382,44,4647,4647,0.04,849.96,0.0032
383,25,6206,6230,1.04,823.36,0.0031
384,10,4237,4237,0.04,822.09,0.0031
385,35,5125,5125,0.04,812.25,0.003
386,37,8143,8143,0.04,811.8,0.003
387,22,4622,4622,0.04,802.39,0.003
388,17,4454,4478,1.04,799.4,0.003
389,21,4622,4622,0.04,791.01,0.003
390,54,4622,4622,0.04,783.48,0.0029
391,46,4935,4935,0.04,776.01,0.0029
392,53,5246,5246,0.04,766.92,0.0029
393,45,8359,8359,0.04,766.87,0.0029
394,29,5271,5271,0.04,766.26,0.0029
395,55,4934,4934,0.04,764.43,0.0029
396,13,4262,4262,0.04,756.66,0.0028
397,27,5342,5342,0.04,751.73,0.0028
398,57,5654,5654,0.04,737.21,0.0028
399,31,5077,5077,0.04,732.46,0.0027
400,3,5077,5077,0.04,726.97,0.0027
401,48,5846,5846,0.04,726.65,0.0027
402,28,5438,5438,0.04,720.41,0.0027
403,59,5222,5222,0.04,720.13,0.0027
404,10,8599,8599,0.04,711.34,0.0027
405,46,4213,4213,0.04,710.94,0.0027
406,29,5797,5797,0.04,703.24,0.0026
407,9,8407,8407,0.04,697.62,0.0026
408,47,4430,4430,0.04,697.29,0.0026
409,11,5894,5894,0.04,691.74,0.0026
410,17,4886,4886,0.04,683.03,0.0026
411,38,5222,5222,0.04,676.36,0.0025
412,60,4454,4454,0.04,662.65,0.0025
413,4,5294,5295,0.08,661.77,0.0025
414,24,5918,5918,0.04,659.08,0.0025
415,16,4286,4286,0.04,655.25,0.0025
416,3,622,622,0.04,653.12,0.0024
417,50,5918,5918,0.04,652.5,0.0024
418,4,5773,5773,0.04,652.1,0.0024
419,44,6110,6110,0.04,633.53,0.0024
420,31,5126,5126,0.04,626.28,0.0023
421,58,4885,4885,0.04,623.1,0.0023
422,48,5702,5702,0.04,618.18,0.0023
423,10,7721,7721,0.04,616.58,0.0023
