rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,53,389,583,8.12,200749.64,0.7515
2,22,584,655,3.0,149840.67,0.561
3,52,679,838,6.67,113812.91,0.4261
4,25,1442,1537,4.0,107859.82,0.4038
5,14,1327,1445,4.96,102831.5,0.385
6,38,7912,8071,6.67,101552.66,0.3802
7,16,822,895,3.08,96975.74,0.363
8,4,679,726,2.0,92495.67,0.3463
9,59,904,1015,4.67,91091.54,0.341
10,57,1062,1111,2.08,89555.94,0.3353
11,15,1015,1063,2.04,87059.67,0.3259
12,12,8599,8670,3.0,85850.44,0.3214
13,21,140,247,4.5,85002.34,0.3182
14,23,8695,8759,2.71,82719.79,0.3097
15,34,8311,8430,5.0,82337.1,0.3082
16,58,274,361,3.67,81792.68,0.3062
17,54,150,223,3.08,79184.15,0.2964
18,32,1351,1400,2.08,78502.47,0.2939
19,35,521,560,1.67,78287.29,0.2931
20,48,151,202,2.17,76238.86,0.2854
21,31,879,1063,7.71,73738.95,0.2761
22,8,535,678,6.0,71683.51,0.2684
23,26,919,1015,4.04,68051.42,0.2548
24,11,1207,1273,2.79,67188.68,0.2515
25,13,64,127,2.67,67053.79,0.251
26,44,1255,1302,2.0,65239.0,0.2442
27,30,8215,8261,1.96,63967.94,0.2395
28,37,247,343,4.04,61414.85,0.2299
29,43,237,320,3.5,57366.26,0.2148
30,7,199,271,3.04,53742.25,0.2012
31,46,976,1051,3.17,53405.25,0.1999
32,57,927,1006,3.33,51846.81,0.1941
33,46,93,127,1.46,51715.15,0.1936
34,28,126,176,2.12,51127.21,0.1914
35,18,664,680,0.71,50302.66,0.1883
36,19,977,1033,2.38,49776.16,0.1863
37,39,127,247,5.04,49423.46,0.185
38,47,616,655,1.67,49399.09,0.1849
39,55,7839,7878,1.67,49311.8,0.1846
40,6,1303,1346,1.83,49176.1,0.1841
41,50,703,821,4.96,48958.72,0.1833
42,41,1216,1274,2.46,48350.17,0.181
43,35,631,727,4.04,47700.06,0.1786
44,33,1073,1210,5.75,47538.34,0.178
45,1,423,487,2.71,43937.4,0.1645
