rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
1,22,606,655,2.08,127343.42,0.4767
2,53,391,439,2.04,120000.49,0.4492
3,25,1457,1519,2.62,88348.74,0.3308
4,14,1327,1399,3.04,87916.88,0.3291
5,15,1015,1063,2.04,87059.67,0.3259
6,38,7913,8023,4.62,79864.7,0.299
7,32,1351,1399,2.04,77414.65,0.2898
8,12,8599,8647,2.04,75006.75,0.2808
9,4,689,704,0.67,74393.48,0.2785
10,57,1072,1088,0.71,71095.6,0.2662
11,23,8705,8753,2.04,69302.43,0.2594
12,54,151,199,2.04,68924.77,0.258
13,59,919,961,1.79,66480.02,0.2489
14,16,833,871,1.62,65982.21,0.247
15,26,929,1015,3.62,64631.61,0.242
16,48,175,201,1.12,63753.01,0.2387
17,13,69,127,2.46,63366.34,0.2372
18,52,679,703,1.04,60163.16,0.2252
19,58,305,353,2.04,59051.92,0.2211
20,35,525,545,0.88,57273.12,0.2144
21,37,247,319,3.04,55435.27,0.2075
22,7,199,271,3.04,53742.25,0.2012
23,44,1255,1279,1.04,53608.96,0.2007
24,46,94,127,1.42,50687.82,0.1898
25,18,664,680,0.71,50302.66,0.1883
26,47,616,655,1.67,49399.09,0.1849
27,6,1303,1346,1.83,49176.1,0.1841
28,28,127,175,2.04,48765.97,0.1826
29,30,8224,8240,0.71,43812.95,0.164
30,21,208,247,1.67,43637.76,0.1634
31,11,1231,1249,0.79,40835.54,0.1529
32,51,1048,1062,0.62,40491.62,0.1516
33,55,7839,7855,0.71,39683.1,0.1486
34,17,544,559,0.67,39375.58,0.1474
35,50,703,799,4.04,38006.68,0.1423
36,8,559,607,2.04,36700.26,0.1374
37,33,184,192,0.38,33877.02,0.1268
38,3,1962,1973,0.5,32678.82,0.1223
39,11,8695,8743,2.04,32531.88,0.1218
40,45,232,247,0.67,30947.07,0.1159
41,45,8479,8513,1.46,30861.88,0.1155
42,35,655,703,2.04,29867.86,0.1118
43,17,870,894,1.04,28697.67,0.1074
44,33,1111,1159,2.04,28367.17,0.1062
45,56,151,175,1.04,28047.37,0.105
46,20,495,503,0.38,27911.17,0.1045
47,21,415,439,1.04,26413.31,0.0989
48,2,8319,8328,0.42,25582.97,0.0958
49,29,112,122,0.46,24397.88,0.0913
50,54,895,942,2.0,23970.94,0.0897
51,27,7999,8047,2.04,23512.95,0.088
52,19,990,1015,1.08,23331.87,0.0873
53,34,8383,8407,1.04,22690.15,0.0849
54,38,8383,8407,1.04,22470.68,0.0841
55,49,789,798,0.42,21680.16,0.0812
56,12,223,246,1.0,20894.09,0.0782
57,31,1221,1230,0.42,20848.65,0.0781
58,56,751,775,1.04,20152.07,0.0754
59,21,143,151,0.38,19273.79,0.0722
60,29,8695,8719,1.04,19106.3,0.0715
61,31,1039,1063,1.04,18750.05,0.0702
62,59,703,727,1.04,18709.64,0.07
63,48,8239,8287,2.04,18690.48,0.07
64,4,8191,8215,1.04,16855.5,0.0631
65,49,319,367,2.04,16132.6,0.0604
66,43,1615,1631,0.71,14963.91,0.056
67,17,631,654,1.0,14692.38,0.055
68,1,463,463,0.04,14621.84,0.0547
69,9,318,343,1.08,14621.34,0.0547
70,40,764,769,0.25,14459.46,0.0541
71,37,847,871,1.04,13568.4,0.0508
72,58,1063,1072,0.42,13453.46,0.0504
73,43,245,248,0.17,13069.26,0.0489
74,30,7975,7999,1.04,12823.86,0.048
75,24,7,7,0.04,12754.98,0.0478
76,57,942,953,0.5,12441.49,0.0466
77,42,1423,1447,1.04,11872.3,0.0444
78,43,391,415,1.04,11732.31,0.0439
79,5,8071,8119,2.04,11382.5,0.0426
80,6,271,295,1.04,9829.59,0.0368
81,45,8743,8753,0.46,9750.86,0.0365
82,18,79,79,0.04,9493.53,0.0355
83,51,151,151,0.04,8680.83,0.0325
84,46,1015,1015,0.04,8415.86,0.0315
85,34,8599,8623,1.04,7965.75,0.0298
86,3,1158,1159,0.08,7896.91,0.0296
87,3,7735,7735,0.04,7799.05,0.0292
88,43,318,319,0.08,7580.4,0.0284
89,40,8215,8215,0.04,7403.78,0.0277
90,18,223,223,0.04,7229.39,0.0271
91,20,367,367,0.04,7124.79,0.0267
92,42,8479,8479,0.04,6829.32,0.0256
93,13,8167,8167,0.04,6734.39,0.0252
94,51,1255,1255,0.04,6381.02,0.0239
95,31,727,727,0.04,6278.74,0.0235
96,39,223,223,0.04,6181.34,0.0231
97,30,1111,1111,0.04,6090.41,0.0228
