wind anom Norway,pv anom Norway,heat anom Norway,wind anom Baltics_FI,pv anom Baltics_FI,heat anom Baltics_FI,wind anom Nordics_S,pv anom Nordics_S,heat anom Nordics_S,wind anom British_Isles,pv anom British_Isles,heat anom British_Isles,wind anom NW_Continent,pv anom NW_Continent,heat anom NW_Continent,wind anom Med_East_N,pv anom Med_East_N,heat anom Med_East_N,wind anom Med_East_S,pv anom Med_East_S,heat anom Med_East_S,wind anom Greece,pv anom Greece,heat anom Greece,wind anom Italy,pv anom Italy,heat anom Italy,wind anom Iberia,pv anom Iberia,heat anom Iberia,wind anom Central_W,pv anom Central_W,heat anom Central_W,wind anom East_N,pv anom East_N,heat anom East_N,wind anom Central_E,pv anom Central_E,heat anom Central_E,sc,t_start,t_end
-10.895037783781211,15.909181524500019,38.369585308318726,-16.70451994899961,31.230628868070998,117.22213132134323,-22.04719313631393,-23.8444645330779,59.704796327375874,-1.6653122275627101,10.970958658348327,75.86324300890622,-19.65926257216311,55.78587426433528,116.10617174225905,54.904710956998414,9.446093646768634,85.80024196786657,57.98617572577379,-6.242167775204653,114.16262517646484,67.33906912890913,-31.231993696315502,85.40045702661382,49.974474723734744,-24.747011818536144,118.12215249029944,12.843648757901269,-9.471813349596108,13.808941246959549,-4.530976140222639,18.409042618642992,85.63910789022998,-33.69294635654097,25.11766165883535,113.3416719837624,-2.174818680580116,16.00792011180886,101.57050660890641,53,341,626
-38.31692487696613,35.949288209199004,28.199477649198833,-12.931439569647619,37.235268661176775,44.947613589661046,-25.47233684966212,-12.534704013079887,46.89409596922795,-16.73247367319817,-7.920634459765956,53.922129893929224,-41.159531046985,12.664054758897821,86.14305196730791,6.884657875595974,3.589390828314712,47.63492146845781,31.54759346643511,-14.240508301384178,94.4294158751506,7.826793591340846,-16.678013835714324,34.40939851879208,28.863214268185803,-23.52671550298219,129.77258333952216,-11.844945615345907,2.078481238504072,78.29927723036971,-8.342106661101052,9.754300446516494,88.47766375223839,-40.40205012062363,-8.732195316407415,60.63726042186869,-35.05367134222851,3.380312470267847,72.67863645749246,14,1030,1468
-17.690767814512135,9.199183632136984,35.418487743497415,-2.7015510271393564,-16.03790863020151,62.18778490483402,-28.415868327743237,-6.98543902689905,65.79543744892307,-14.751034051003419,-1.6731805309424543,49.9304246940068,-34.532277436612695,40.83052853045356,102.4641810165339,11.206676248752398,-3.5750802028528192,52.25851192847371,-2.9389899769098897,-10.18927538908081,86.37688280243859,60.605731665757226,-15.910423139645765,8.548979896153309,45.61082868921468,-16.066814948710125,106.96176269906445,16.407872690174166,4.324436677200097,103.50155533435483,-12.455817914212302,16.908705383558466,96.90547566308501,-31.729275935216528,12.022249603225044,84.65088218588215,-50.366990873528174,-14.298134649631567,81.16718985538976,22,501,730
-35.35443297327481,26.34685009456838,63.725450373494105,-35.292548746700575,2.1374008945625365,95.16292580251789,-7.372443799026486,-24.64877259548616,82.61777044597089,-24.808810580954617,-1.4541781568676322,75.1454354853726,-17.791829035558678,3.309146260983034,100.49373096309576,79.32721931955838,-3.8738141189055044,45.48474569244824,26.784764729191117,-15.121461452978993,52.765335422940275,63.81038313965074,-13.36518584129427,24.741003324392516,70.04782826099112,-10.242671850891007,46.332777861498926,48.71169138753076,-22.658872054079346,8.017759353850513,-30.110756475379723,-10.826330309900099,41.04352314695246,-29.254233787559237,41.67687541581243,115.90670294334544,1.7096676310212733,18.877161895111378,79.67241327046844,57,904,1129
18.183934792996297,-19.85762870550441,-0.022992746215519794,-12.644659411694198,41.77750969213489,36.897306501795704,-4.746231719234493,11.686145856575447,18.703766615262392,-10.52501098623775,17.681177461886588,24.37162397234307,-28.1040222745136,18.21166848142928,42.42780333476309,-3.4130086396666126,3.30358363545072,56.312908002456574,-10.686784371685624,-14.356555237989005,55.563137597941,21.88227890358407,-23.790524227996872,90.67392018501114,-23.68148130511109,-32.950378146228125,75.9810591693286,5.1623577671784595,-24.539839598550724,34.52787468839754,-28.403960919776573,11.778061174051663,46.14406714118361,-17.661962254438407,56.437960082437364,47.16303213593439,1.8897234692990947,20.08140763968361,53.30727427271693,21,139,440
-28.87011979090407,62.08022473310986,58.0682764076687,-0.6688243649105459,31.850637710234786,43.36699662409226,-50.197995933835074,47.86823253159873,64.90028811804713,-35.513781450837186,53.664903468342274,61.23523728555587,-50.976400065076966,56.14799084266898,73.85385144595193,41.17753743573022,-1.9281831575024961,19.88387792585202,7.878381267670551,-0.45662368580940754,68.50105592263927,46.222406442999855,-14.031291009193463,-18.775260227053522,50.736307184107446,-19.738848256226966,83.46007796103233,60.33062144532849,-16.152532541447783,74.3375697421685,-26.52170011366179,20.44798135550418,75.47747691364516,-6.4795754497995075,58.74430230446113,72.03092334248706,-16.50277980564516,48.58464164024197,72.37427768231284,35,510,728
29.43407596268221,-27.913900195754998,37.58200522548969,-7.357931398429958,21.073616077968893,94.66092130477189,-4.762874342909111,-17.523750201681672,82.50319852441426,-11.546114149722172,9.086233766181659,95.91194188276535,23.042133227715485,78.56364980665647,177.0249680731473,173.46376127223982,6.2130904142344034,131.78921341439423,194.60096396745158,19.35195891243389,199.66553396952017,63.21397145440268,-31.685148503065676,143.6224626646153,71.10864373519397,-27.744550050792494,260.1325756553848,48.93678064564969,8.13686732191743,179.01738861099153,12.869091312024736,49.55107877818724,150.43925216209968,-25.84611231086731,77.39037111665829,161.4036097704049,25.740790384642153,69.76099756286449,163.9316351406086,25,1375,1537
-11.267219539632965,24.816495692778247,10.195957132204061,-29.940443571392066,-22.328113370324875,32.439714593646045,-44.58794108131233,8.071906567899525,23.935007716427794,-17.94942050487641,5.170068254733296,44.79002037104563,-41.76035662106744,88.50939614638533,61.017629099441564,45.97245916160394,-40.79379544561171,47.84876236261333,82.27765227200979,-3.5811327916157367,64.08859156664104,38.85017467927598,-22.091845236950423,31.986128935768487,25.655726050637735,-28.39789925643491,82.53428112539301,37.7464658031904,-12.31904737330783,53.23105761125924,-42.6305688592498,25.362902401727766,49.816264889154034,-65.476117355038,15.837350329337857,47.1469179412853,-58.391539198451056,25.42786084827021,52.76666067344149,15,895,1085
-10.533541018072606,21.280999481464107,46.8279710745434,-3.1696309138067926,-20.235835531174377,29.607019707662936,8.780033640110654,-13.989482668094427,48.287105936008636,-59.704884532545336,12.478710318414532,61.380411565655905,-16.31374325847744,6.118147996518757,81.22999521108338,76.24534591733256,-24.611220832531632,-18.852551529857838,-3.856577609354327,-15.789460057333901,51.13067044578732,65.48100164072243,7.208974213712202,-44.69699994067298,32.727702412556035,-25.909591670641053,73.3636643627191,59.89414777337132,-25.908050833344813,108.09528692027881,-30.174582266520467,14.65276372318273,88.43267665439039,-2.3349083296027886,13.067802803858033,48.398859623803894,-16.775713935200827,20.48983210425975,49.60739314551862,52,677,839
53.27384576333918,-29.32937918075944,-5.948810550938603,25.05310038484933,-3.1899249614277507,4.111619651123652,-6.004320871456661,79.65556787502935,57.315577550177444,-35.1291478022344,67.48762787903539,57.27797453566891,-63.96659813747818,172.2179724512339,137.57174416447577,62.83567526139836,-38.84444210531579,73.34092589424463,114.2995951337929,-11.66883648060244,110.73403133989652,83.55783396239951,-27.240294166847995,65.50703863518737,99.09964782878737,-59.55515655028856,123.41906729494694,-24.671006560856572,39.651274981575156,101.77504732407334,-36.684020837124,66.05913248252273,101.40486079168309,-47.459489758650875,54.24326132521611,93.45070206037707,-53.72864909962054,54.64783018253192,99.36137738894423,12,8502,8673
