nettrans anom Norway,stor level anom Norway,stor discharge anom Norway,nettrans anom Baltics_FI,stor level anom Baltics_FI,stor discharge anom Baltics_FI,nettrans anom Nordics_S,stor level anom Nordics_S,stor discharge anom Nordics_S,nettrans anom British_Isles,stor level anom British_Isles,stor discharge anom British_Isles,nettrans anom NW_Continent,stor level anom NW_Continent,stor discharge anom NW_Continent,nettrans anom Med_East_N,stor level anom Med_East_N,stor discharge anom Med_East_N,nettrans anom Med_East_S,stor level anom Med_East_S,stor discharge anom Med_East_S,nettrans anom Greece,stor level anom Greece,stor discharge anom Greece,nettrans anom Italy,stor level anom Italy,stor discharge anom Italy,nettrans anom Iberia,stor level anom Iberia,stor discharge anom Iberia,nettrans anom Central_W,stor level anom Central_W,stor discharge anom Central_W,nettrans anom East_N,stor level anom East_N,stor discharge anom East_N,nettrans anom Central_E,stor level anom Central_E,stor discharge anom Central_E,sc,t_start,t_end
0.269768405068471,-2374.090397180984,5.016263444063441,-0.8129874940163093,-715.4355840862031,1.0512691211341878,0.987342102281193,-3673.459490701379,7.810102694141186,3.6492347055056005,-2202.3603670417615,2.5250736550664876,9.332554782618617,-5237.510747273031,7.30034138298327,0.7623566088303158,-6966.567712496777,16.904080683022265,1.369110617385534,-855.4753310949197,1.925293768918618,-0.8250233423832857,-117.31977126763255,0.5008139169294477,-3.3384253285286336,-2183.7812872855693,7.255252914789651,-3.465712667732091,154.9145336160534,7.780568960641887,2.58187001014189,-8084.042960803642,19.94878786635533,0.7574745897712527,-3152.735321214244,4.881206425098323,-11.098488359276178,-1970.7744488652654,3.4566723278082288,53,341,626
-0.398347285828871,-5175.0625605361965,7.830820861790851,0.6868708669886945,-453.32368279040725,0.3741232156345071,0.6630285405823978,-2475.178774085188,3.3736921081650966,1.2687585235157126,-857.0148608301629,-0.8831701327134938,1.3086714107272623,-2068.414858660566,-2.1774970617024207,-0.2076238870047007,-4954.744518176444,8.09164228801642,-0.1815270605858973,-338.46616625313806,-0.018339620432386683,-0.15412229722775672,-373.32437293256737,0.5095265257900803,-1.7950642641295582,-3838.6245608437275,1.9240222058204584,-3.535688543534662,-5486.472164297031,4.632061083985418,7.34780009221469,-11285.294056553284,14.814837093576187,0.18141771612239221,-680.4610265349057,-1.555774582030981,-4.801218298950022,-2745.5851246484353,2.0144398843074383,14,1030,1468
1.3618790294093253,-2875.05543169436,6.592466258909223,-1.2915678737863503,-595.8057155333554,1.939081896451493,2.44665231794519,-1994.3509905783008,5.131533578915594,2.1303718581260904,-1133.6488966029497,3.5182049080778066,4.316482934161458,-3498.261898090391,3.9469015695946954,0.7407908128118994,-3521.3654873205146,14.070274540075589,0.17826437385049304,-360.913295388874,0.8255019361104652,-1.1291930048830232,225.63686651787535,-0.1682309266758546,-3.055440402735849,-806.158037866068,1.2015740723307538,-3.637377860706587,-3165.1474747762786,7.81205742733821,0.19457870506801878,-7140.424284251685,19.694811427665858,2.2070510297797656,-2300.4531724138556,4.61363544248022,-4.0920594752698545,-2143.6037398287153,3.5270003554205642,22,501,730
2.0492152208705425,-2605.578761350839,7.285583149499139,-0.7991652373222238,-1193.112020404325,2.588730811110162,-0.4090651428760901,-2596.822148866006,8.000283296654796,4.284850205252618,-3169.183938672035,6.501918183868552,-2.1238589884180077,-5327.346041993642,9.623998918529502,-0.48845784796875213,-485.3709840770123,8.980101589450797,-0.4414095507762067,-20.815861587364267,-0.394635597428303,-0.5426039680486359,410.26173938097554,-0.3650508602469916,-6.833007468830452,1193.6257876334548,-2.030486943169344,-3.7716186514240766,481.29907653743794,-0.11315243056526114,7.923000060860419,-4901.545869896489,11.216487844558564,0.04844632890902689,-683.9139380534716,0.5524644602234776,1.6460134390708068,-1572.175873383115,4.675155663399689,57,904,1129
-5.174057955648749,-2743.311071228575,5.781567079845381,0.8775333677126416,-743.0131118322422,0.9259331395522523,0.814874120444903,-1947.1766054695827,2.722284945476906,0.98114734094308,-779.4691798678105,1.5628470386907414,-2.3056364372764246,-3421.881227748819,2.2497947988931495,0.036655082744638745,-1893.9130754611256,2.791501012879544,0.7457699240169025,-275.2572768547757,0.22631127119457728,-0.042853927410633874,-79.91051538134738,-0.07315461154372338,-1.013289499720691,-2043.651264930225,0.3954751432582668,-1.8628484104441885,-2635.7369476129966,2.1668097760626814,2.8164502964475884,-8112.679729814245,12.802371124140347,1.6097399790452669,-1641.9921116859002,1.8680801166355576,2.818275713348343,-2813.077298346918,4.4778288389020116,21,139,440
-2.1371134178921123,-1967.1596067121927,6.4513302842257865,-2.466105170907013,-888.9619739416644,2.0601707558193203,3.3085447011933513,-2570.109572075383,6.579122082987043,-0.5086032549067578,-1419.0045953139543,1.614465533675443,10.679158557530071,-4722.378697152528,8.824030477142164,-0.5076527574449965,50.961402305637534,3.4615699892429825,-0.23127128210883374,-204.89910179464346,0.5412070632269734,-0.692716716684209,283.20334409754344,-0.34078761639969124,-5.69918092220971,-845.6460584037414,0.366642909750313,-4.344965330773305,-79.24828239416593,-1.3087505737951997,6.195075170543544,-5774.030780748444,13.941889086006526,0.5855348448005915,-2142.338493186164,4.668845131948869,-3.8880027737389886,-2766.970768497825,7.482387294233529,35,510,728
-5.650391021594558,-2489.601123384134,8.661092150491111,0.3955589894284544,-276.42053146011995,2.3750146572593964,3.6453833457682423,-1623.2646074355857,8.205865942176386,3.1598769241444455,-2155.852265536326,8.855362200719151,9.32713034880753,-2197.2966268820505,16.01284154055422,-0.25940416442277003,-1832.3369443163763,9.037550030503278,0.9440948321367486,-442.0101158656165,1.3602703959418778,-0.9540753841493456,2.2605981230558214,0.19121558469023503,-0.44155765973543676,-1206.9881093911636,3.4950999874977313,-0.9708303973942088,-2274.152287614815,5.006416226028849,-1.1939757208794255,-3985.940609401483,16.517592035623107,1.1699072075014856,-504.2036834918058,1.7323120465693225,-9.43433512317031,-880.0776455480377,7.724281200419812,25,1375,1537
-2.3915918987131026,-1588.0795460339764,3.916554391915227,-1.4202779952759361,7.2513359018049925,-0.24250601957755036,5.0040285055214415,-1077.3612096044462,3.856477076989094,-2.253973652730946,-1407.148205564728,3.634638157775942,-1.1230612339144175,-2423.984392343878,3.0706051709951145,0.20657563977571747,-1689.3621595556103,5.492871800826719,-0.6877490010728561,-166.23137931038062,0.4021217349537063,-0.3526452035545382,-62.34486210615846,-0.006991962758493786,-3.783578184120901,-1666.4297739823498,3.648363134588058,-3.563115399925147,-1384.3199324194989,2.1076912174155424,9.338303886172284,-5107.297206716151,16.280520560229114,3.862640777549953,-1750.9814736461512,3.965520433508638,-2.6667948284929865,-1843.6948827099623,4.848226767950245,15,895,1085
-0.03184816851338912,-1960.6252350959012,6.109011399946677,0.9049917707868895,38.74148760504714,1.0181018350760345,-5.862064087480471,-545.1766930749257,3.042403111235167,6.589019323111068,-1488.0205476539652,3.265349160848313,-0.6795408463192726,-910.2566930932405,-0.21112136949101856,-1.1938901433709839,1939.6746960037783,-3.639815959074106,0.4122703285242707,-95.86670691543479,0.013463345267857862,-0.4778705221774391,370.5520331371761,-0.8658859733281086,-5.269258730869993,-553.0084788215661,0.6885968859499645,-3.5788959556246063,-989.1131513772997,2.2321380496281336,12.515812249660133,-6291.810503425964,21.020708708916462,-1.4929475761540347,-347.79238585575405,1.6713323180281,-1.5684959126594364,-1027.300829522477,4.09484069898795,52,677,839
-7.399702394528762,-2448.3822535290633,6.274762811271863,-3.4586668570817927,644.4771359421298,-0.45453451087356156,3.1260090569295516,-1350.4953772506324,5.086162811841042,1.599078975513054,-1780.6626592133064,4.4694842329586075,10.178029387182335,-3149.453376099581,5.673538518659885,-0.16014183997106718,-1888.2368788339054,6.58220946349541,-0.15027003950747703,-267.5720408280701,0.7660011952742102,-1.293029949541666,172.06989966851015,-0.6587526417842983,-6.674375576727442,585.9453970551428,-1.3856794733261353,-5.8884272999514895,-1093.3515454573694,8.012822383811741,9.914105545645649,-4649.589968684367,17.524704139316547,4.238497962759986,-2849.6243636770264,7.367246908790053,-3.8871482573948026,-2000.315277688723,6.649713715707898,12,8502,8673
